/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core IOW225514 using alkenones. doi:10.1594/PANGAEA.737228, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 57.838000 * LONGITUDE: 8.704000
	MINIMUM AGE: 0.449 ka BP * MAXIMUM AGE: 6.432 ka BP
Event(s):	IOW225514 (225514) * LATITUDE: 57.838000 * LONGITUDE: 8.704000 * ELEVATION: -420.0 m * DEVICE: Gravity corer (GC)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	84 data points
*/
Age [ka BP]	SST [¡C]
0.449	10.9
0.535	10.7
0.548	10.8
0.599	10.8
0.655	10.9
0.706	10.9
0.754	10.9
0.799	10.9
0.842	11.0
0.884	11.0
0.926	10.9
0.966	11.0
1.006	11.0
1.046	11.0
1.085	11.1
1.124	11.1
1.162	10.9
1.201	10.9
1.239	10.8
1.277	10.7
1.315	10.8
1.323	10.8
1.352	10.9
1.389	10.8
1.424	10.9
1.459	11.2
1.494	11.5
1.540	11.5
1.714	11.4
1.985	11.4
2.238	11.5
2.440	11.5
2.594	11.5
2.735	11.8
2.866	11.7
2.987	12.0
3.101	11.9
3.211	12.0
3.315	12.3
3.415	12.2
3.513	12.1
3.607	12.0
3.626	12.0
3.699	11.9
3.789	12.0
3.878	11.8
3.964	11.8
4.050	12.0
4.134	12.0
4.217	12.1
4.299	12.4
4.380	12.6
4.460	12.3
4.539	12.6
4.617	12.6
4.694	12.7
4.769	12.8
4.844	12.7
4.918	12.8
4.990	12.9
5.062	12.9
5.132	12.9
5.202	12.8
5.216	12.9
5.270	13.2
5.338	13.3
5.405	13.1
5.471	13.0
5.536	13.2
5.600	13.0
5.664	13.4
5.726	13.4
5.788	12.7
5.849	12.9
5.909	13.4
5.968	13.1
6.027	13.5
6.085	13.3
6.143	13.2
6.201	13.6
6.259	13.2
6.317	13.7
6.374	13.4
6.432	13.4
