/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core JR51-GC35 using alkenones. doi:10.1594/PANGAEA.737230, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 66.999000 * LONGITUDE: -17.961000
	MINIMUM AGE: 0.062 ka BP * MAXIMUM AGE: 10.171 ka BP
Event(s):	JR51GC-35 * LATITUDE: 66.999000 * LONGITUDE: -17.961000 * ELEVATION: -420.0 m * CAMPAIGN: JR51 (URI: http://www.bodc.ac.uk/data/documents/cruise/6771/) * BASIS: James Clark Ross * DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	97 data points
*/
Age [ka BP]	SST [¡C]
0.062	4.6
0.143	4.5
0.208	6.8
0.273	6.0
0.338	8.7
0.403	6.9
0.420	5.4
0.468	9.5
0.598	7.4
0.663	7.0
0.696	6.6
0.729	8.3
0.794	7.5
0.907	9.3
0.943	7.4
1.131	7.6
1.506	8.1
1.599	8.2
1.693	7.3
1.880	7.3
1.974	9.2
2.068	6.8
2.114	6.2
2.255	8.5
2.349	7.1
2.442	9.1
2.536	7.8
2.630	6.1
2.723	4.8
2.817	7.8
2.911	5.2
3.004	4.7
3.192	6.8
3.285	8.4
3.379	10.1
3.473	6.3
3.566	7.8
3.754	8.6
3.847	5.8
3.941	8.4
4.035	7.2
4.128	9.8
4.222	10.0
4.316	9.8
4.410	7.6
4.503	7.9
4.597	7.8
4.691	5.7
4.784	8.3
4.878	5.4
4.972	4.8
5.065	8.0
5.159	8.0
5.253	8.2
5.346	7.0
5.440	7.2
5.534	7.0
5.627	7.6
5.721	8.0
5.815	8.2
5.908	8.7
6.002	6.9
6.096	4.8
6.189	6.3
6.283	6.4
6.377	5.4
6.470	7.0
6.564	7.9
6.751	8.8
6.845	6.8
6.939	6.7
7.079	7.1
7.126	7.8
7.220	7.2
7.313	9.5
7.595	8.2
7.688	8.1
7.782	9.0
7.969	10.3
8.063	9.0
8.157	8.1
8.344	9.5
8.438	10.0
8.531	9.3
8.719	8.4
8.906	1.9
9.000	9.8
9.093	12.0
9.281	8.8
9.374	11.6
9.468	9.5
9.749	10.8
9.843	9.2
9.936	9.1
10.030	9.0
10.124	9.4
10.171	8.7
