/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core SSDP102 using alkenones. doi:10.1594/PANGAEA.737272, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 34.953000 * LONGITUDE: 128.881000
	MINIMUM AGE: 0.013 ka BP * MAXIMUM AGE: 6.881 ka BP
Event(s):	SSDP102 * LATITUDE: 34.953000 * LONGITUDE: 128.881000 * ELEVATION: -40.0 m * DEVICE: Gravity corer (GC)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	113 data points
*/
Age [ka BP]	SST [¡C]
0.013	21.8
0.084	21.4
0.155	21.9
0.226	22.1
0.304	21.4
0.343	22.0
0.380	21.7
0.416	22.4
0.456	22.4
0.477	22.2
0.526	22.1
0.562	22.3
0.599	22.3
0.632	22.5
0.647	22.4
0.669	22.5
0.708	22.2
0.775	22.1
0.845	22.3
0.881	22.4
0.915	22.1
0.945	22.3
0.982	22.2
1.048	22.6
1.088	22.6
1.127	22.3
1.164	22.1
1.200	22.0
1.212	22.0
1.231	21.9
1.240	22.2
1.261	21.7
1.279	22.1
1.288	21.8
1.316	22.0
1.322	22.3
1.352	22.4
1.383	22.3
1.413	22.0
1.461	22.2
1.509	21.9
1.556	21.9
1.604	21.9
1.647	21.8
1.652	21.9
1.700	21.8
1.733	22.0
1.814	21.9
1.876	21.4
1.953	21.6
2.039	21.7
2.201	21.2
2.287	21.3
2.368	21.7
2.512	21.8
2.569	21.6
2.631	22.2
2.717	21.4
2.884	22.2
2.966	21.1
3.023	22.2
3.080	21.9
3.138	21.5
3.195	21.5
3.286	21.5
3.420	21.3
3.501	21.8
3.563	22.0
3.620	21.4
3.682	21.7
3.735	21.9
3.792	21.3
3.873	21.7
3.931	22.0
4.007	21.2
4.064	21.0
4.131	22.0
4.208	21.7
4.313	21.4
4.389	20.7
4.461	22.1
4.537	21.2
4.614	21.7
4.662	21.4
4.743	21.9
4.819	21.4
4.891	21.7
4.972	22.1
5.073	22.1
5.159	21.2
5.235	21.8
5.311	21.8
5.393	22.4
5.464	21.9
5.545	22.1
5.617	21.7
5.694	21.7
5.760	21.5
5.789	22.0
5.846	21.9
5.923	21.8
6.004	22.1
6.033	22.1
6.081	21.6
6.128	21.9
6.138	21.4
6.235	21.3
6.364	21.0
6.390	21.0
6.450	21.2
6.519	21.4
6.691	21.0
6.881	21.2
