1	0.492	4.21	26.73
3	0.857	3.87	25.77
5	1.222	3.44	24.48
6	1.404	3.53	24.75
8	1.768	3.89	25.85
10	2.133	4.35	27.08
11	2.315	4.17	26.61
13	2.68	3.69	25.24
15	3.045	4.73	28.01
16	3.227	3.98	26.1
18	3.592	4.83	28.25
20	3.956	4.71	27.96
21	4.138	3.57	24.89
23	4.503	3.99	26.12
25	4.868	4.49	27.43
26	5.05	3.97	26.07
28	5.245	4.08	26.36
30	5.44	4.02	26.2
31	5.538	4.04	26.26
33	5.733	4.34	27.07
35	5.928	4.2	26.68
36	6.025	4.06	26.32
38	6.22	4.1	26.44
40	6.416	4.21	26.74
41	6.513	3.84	25.69
43	6.708	4.15	26.56
45	6.903	4.01	26.18
46	7.001	4.16	26.6
48	7.196	4.18	26.65
50	7.391	3.7	25.3
51	7.488	4.81	28.21
53	7.684	3.9	25.86
55	7.879	3.9	25.86
56	7.976	4.19	26.68
58	8.171	4.16	26.59
60	8.366	3.96	26.03
61	8.464	4.06	26.31
63	8.659	3.34	24.16
65	8.854	3.91	25.9
66	8.952	4.38	27.16
68	9.147	3.99	26.11
70	9.342	4.19	26.67
71	9.439	4.31	26.99
73	9.634	3.87	25.8
75	9.829	4.04	26.25
76	9.927	4.27	26.88
78	10.122	3.91	25.89
80	10.317	3.93	25.96
81	10.415	3.92	25.92
83	10.61	4.13	26.5
85	10.805	3.69	25.24
86	10.902	4.6	27.71
