1	0.12	4.48	28.18
3	0.29	4.44	28.08
5.5	0.51	4.72	28.76
6.5	0.6	4.27	27.65
7.5	0.68	4.67	28.64
8.5	0.77	4.93	29.24
9.5	0.86	4.37	27.89
10.5	0.95	4.34	27.81
11.5	1.03	4.38	27.93
12.5	1.12	4.63	28.55
13.5	1.21	4.36	27.87
14.5	1.3	4.73	28.77
15.5	1.38	4.88	29.13
16.5	1.47	4.49	28.2
17.5	1.56	4.81	28.97
18.5	1.65	4.58	28.42
19.5	1.73	4.55	28.34
20.5	1.82	4.81	28.95
21.5	1.91	4.2	27.46
22.5	2	4.61	28.49
23.5	2.08	4.48	28.18
24.5	2.17	4.35	27.85
25.5	2.26	4.7	28.72
26.5	2.44	4.6	28.46
27.5	2.63	4.15	27.34
28.5	2.81	4.46	28.12
29.5	3	4.54	28.31
30.5	3.18	4.51	28.24
31.5	3.36	4.3	27.73
32.5	3.55	4.61	28.49
33.5	3.73	4.73	28.77
34.5	3.91	4.58	28.41
35.5	4.1	4.79	28.91
36.5	4.28	4.61	28.49
37.5	4.47	4.6	28.46
38.5	4.65	4.21	27.49
39.5	4.83	4.63	28.55
40.5	5.02	4.58	28.42
41.5	5.2	4.79	28.92
42.5	5.38	4.77	28.87
43.5	5.57	4.7	28.71
44.5	5.75	4.75	28.82
45.5	5.94	4.67	28.64
46.5	6.12	4.47	28.15
47.5	6.3	4.84	29.05
48.5	6.49	4.55	28.34
49.5	6.67	4.59	28.45
50.5	6.78	4.8	28.95
51.5	6.89	4.67	28.64
52.5	7	4.75	28.83
53.5	7.11	4.7	28.72
54.5	7.23	4.73	28.77
55.5	7.34	4.64	28.57
56.5	7.45	4.69	28.68
57.5	7.56	4.77	28.87
58.5	7.67	4.66	28.63
59.5	7.78	4.83	29.01
60.5	7.89	4.88	29.12
61.5	8	4.75	28.83
62.5	8.11	4.5	28.23
63.5	8.23	4.73	28.77
64.5	8.34	4.75	28.83
65.5	8.45	4.86	29.09
66.5	8.56	4.77	28.87
67.5	8.67	4.69	28.67
68.5	8.78	4.66	28.62
69.5	8.89	4.79	28.93
70.5	9	4.34	27.82
71.5	9.11	4.81	28.97
72.5	9.23	4.83	29
73.5	9.34	4.84	29.03
74.5	9.45	4.53	28.3
75.5	9.56	4.67	28.63
76.5	9.67	4.32	27.78
77.5	9.78	4.51	28.25
78.5	9.89	4.52	28.27
79.5	10	4.42	28.02
80.5	10.11	4.52	28.27
81.5	10.23	4.72	28.75
82.5	10.34	4.3	27.73
83.5	10.45	4.75	28.82
84.5	10.56	4.58	28.43
85.5	10.67	4.64	28.56
86.5	10.73	4.76	28.86
88.5	10.86	4.49	28.19
89.5	10.93	4.61	28.5
90.5	10.99	5.04	29.48
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
