/* DATA DESCRIPTION:
Citation:	Koutavas, A; Lynch-Stieglitz, J (2003): (Table 2) Radiocarbon ages of eastern equatorial Pacific sediment cores. doi:10.1594/PANGAEA.841354, 
	Supplement to: Koutavas, Athanasios; Lynch-Stieglitz, Jean (2003): Glacial-interglacial dynamics of the eastern equatorial Pacific cold tongue-Intertropical Convergence Zone system reconstructed from oxygen isotope records. Paleoceanography, 18(4), 1089, doi:10.1029/2003PA000894
Abstract:	We use planktonic oxygen isotope (d18O) records spanning the last 30,000 years (kyr) to constrain the magnitude and spatial pattern of glacial cooling in the upwelling environment of the eastern equatorial Pacific (EEP). Fourteen new downcore d18O records were obtained from surface-dwelling planktonic foraminifera Globigerinoides sacculifer and Globigerinoides ruber in eight cores from the upwelling tongue of the EEP. All sites have sedimentation rates exceeding 5 cm/kyr and, with one exception, lie above the modern depth of the foraminiferal lysocline. Sites directly underlying the cool band of upwelling immediately south of the equator record mean late Holocene (LH)-Last Glacial Maximum (LGM) d18O amplitudes ranging between 1.0 and 1.3 per mil. We estimate that mean sea surface temperatures (SST) in this region during the LGM were on average 1.5 ± 0.5°C lower than the LH. Larger d18O amplitudes are observed in sites north of the equator, indicating a spatial pattern of reduced meridional SST gradient across the equator during the LGM. This result is supported by comparison of Mg/Ca SST reconstructions from two sites straddling the equator. We interpret the reduction of this gradient during the LGM as evidence for a less intense cold tongue-Intertropical Convergence Zone (ITCZ) frontal system, a more southerly position of the ITCZ, and weaker southeast equatorial trades in the EEP.
Related to:	Faul, Kristina L; Ravelo, Ana Christina; Delaney, Margaret Lois (2000): Reconstructions of upwelling, productivity, and photic zone depth in the eastern equatorial Pacific Ocean using planktonic foraminiferal stable isotopes and abundances. Journal of Foraminiferal Research, 30(2), 110-125, doi:10.2113/0300110
Coverage:	MEDIAN LATITUDE: -1.802125 * MEDIAN LONGITUDE: -89.121250 * SOUTH-BOUND LATITUDE: -5.517000 * WEST-BOUND LONGITUDE: -106.800000 * NORTH-BOUND LATITUDE: 0.950000 * EAST-BOUND LONGITUDE: -82.070000
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 4.0 m
Event(s):	RC08-102 * LATITUDE: -1.417000 * LONGITUDE: -86.850000 * DATE/TIME: 1964-04-14T00:00:00 * ELEVATION: -2180.0 m * RECOVERY: 16.67 m * CAMPAIGN: RC08 * BASIS: Robert Conrad * DEVICE: Piston corer (PC)
	RC11-238 * LATITUDE: -1.517000 * LONGITUDE: -85.820000 * DATE/TIME: 1967-10-14T00:00:00 * ELEVATION: -2573.0 m * RECOVERY: 9.97 m * CAMPAIGN: RC11 * BASIS: Robert Conrad * DEVICE: Piston corer (PC)
	RC13-140 * LATITUDE: -2.865000 * LONGITUDE: -87.750000 * DATE/TIME: 1970-06-11T00:00:00 * ELEVATION: -2246.0 m * RECOVERY: 11.23 m * CAMPAIGN: RC13 * BASIS: Robert Conrad * DEVICE: Piston corer (PC)
	V19-27 * LATITUDE: -0.467000 * LONGITUDE: -82.070000 * DATE/TIME: 1963-04-05T00:00:00 * ELEVATION: -1373.0 m * RECOVERY: 9.72 m * CAMPAIGN: V19 * BASIS: Vema * DEVICE: Piston corer (PC)
	V19-28 * LATITUDE: -2.367000 * LONGITUDE: -84.650000 * DATE/TIME: 1963-04-06T00:00:00 * ELEVATION: -2720.0 m * RECOVERY: 16.18 m * CAMPAIGN: V19 * BASIS: Vema * DEVICE: Piston corer (PC)
	V21-29 * LATITUDE: 0.950000 * LONGITUDE: -89.350000 * DATE/TIME: 1965-03-18T00:00:00 * ELEVATION: -712.0 m * RECOVERY: 4.30 m * CAMPAIGN: V21 * BASIS: Vema * DEVICE: Piston corer (PC)
	V21-30 * LATITUDE: -1.217000 * LONGITUDE: -89.680000 * DATE/TIME: 1965-03-18T00:00:00 * ELEVATION: -617.0 m * RECOVERY: 12.02 m * CAMPAIGN: V21 * BASIS: Vema * DEVICE: Piston corer (PC)
	V21-40 * LATITUDE: -5.517000 * LONGITUDE: -106.800000 * DATE/TIME: 1965-03-24T00:00:00 * ELEVATION: -3182.0 m * RECOVERY: 10.27 m * CAMPAIGN: V21 * BASIS: Vema * DEVICE: Piston corer (PC)
Comment:	Data of RC11-238 previously published in Faul et al. (2000). All measurements were made on monospecific foraminiferal samples comprised of N. dutertrei shells, except the 400 cm sample from core V21-30 where a mix of N. dutertrei and O. universa was used.
Parameter(s):	Elevation of event [m] (Elevation)
	LATITUDE (Latitude)
	LONGITUDE (Longitude)
	Event label (Event)
	DEPTH, sediment/rock [m] (Depth)
	Age, dated [ka] (Age dated) * PI: Koutavas, Athanasios * METHOD: Age, 14C AMS (URI: doi:10.1146/annurev.ns.30.120180.002253)
	Age, difference error [±] (Age diff e) * PI: Koutavas, Athanasios * METHOD: Age, 14C AMS (URI: doi:10.1146/annurev.ns.30.120180.002253)
	Calendar years [ka BP] (Cal yrs) * PI: Koutavas, Athanasios * METHOD: Age, 14C calibrated, CALIB 4.3 (Stuiver et al., 1998) (URI: http://digitalcommons.library.arizona.edu/index.php/journal/article?r=http://radiocarbon.library.arizona.edu/Volume40/Number3/azu_radiocarbon_v40_n3_1041_1083_v.pdf) * COMMENT: corrected by -450 a
	Age, maximum/old [ka] (Age max) * PI: Koutavas, Athanasios * METHOD: Age, 14C calibrated, CALIB 4.3 (Stuiver et al., 1998) (URI: http://digitalcommons.library.arizona.edu/index.php/journal/article?r=http://radiocarbon.library.arizona.edu/Volume40/Number3/azu_radiocarbon_v40_n3_1041_1083_v.pdf) * COMMENT: calendar age 1 sigma range, corrected by -450 a
	Age, minimum/young [ka] (Age min) * PI: Koutavas, Athanasios * METHOD: Age, 14C calibrated, CALIB 4.3 (Stuiver et al., 1998) (URI: http://digitalcommons.library.arizona.edu/index.php/journal/article?r=http://radiocarbon.library.arizona.edu/Volume40/Number3/azu_radiocarbon_v40_n3_1041_1083_v.pdf) * COMMENT: calendar age 1 sigma range, corrected by -450 a
	Laboratory code/label (Lab label) * PI: Koutavas, Athanasios * COMMENT: NOSAMS Accession Number
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	215 data points
*/
Elevation [m]	Latitude	Longitude	Event	Depth [m]	Age dated [ka]	Age diff e [±]	Cal yrs [ka BP]	Age max [ka]	Age min [ka]	Lab label
-2180	-1.417	-86.850	RC08-102	0.000	5.15	0.030	5.385	5.568	5.326	OS-33383
-2180	-1.417	-86.850	RC08-102	0.490	14.00	0.055	16.270	16.508	16.046	OS-33384
-2180	-1.417	-86.850	RC08-102	1.010	20.10	0.065	23.290	23.690	22.922	OS-33385
-2573	-1.517	-85.820	RC11-238	0.000	3.57	0.060	3.360	3.385	3.267	
-2573	-1.517	-85.820	RC11-238	0.400	8.21	0.050	8.530	8.592	8.433	
-2573	-1.517	-85.820	RC11-238	0.800	14.18	0.070	16.480	16.725	16.244	
-2573	-1.517	-85.820	RC11-238	1.000	17.10	0.060	19.840	20.162	19.527	
-2246	-2.865	-87.750	RC13-140	0.000	1.75	0.025	1.260	1.276	1.183	OS-33386
-2246	-2.865	-87.750	RC13-140	0.500	10.45	0.045	11.440	11.553	11.260	OS-33387
-2246	-2.865	-87.750	RC13-140	1.000	16.85	0.055	19.550	19.870	19.245	OS-33388
-2246	-2.865	-87.750	RC13-140	1.510	24.30	0.085	26.690			OS-33389
-1373	-0.467	-82.070	V19-27	0.000	1.34	0.025	0.790	0.884	0.742	OS-33390
-1373	-0.467	-82.070	V19-27	0.490	5.71	0.030	5.990	6.167	5.945	OS-33391
-1373	-0.467	-82.070	V19-27	0.900	14.20	0.065	16.500	16.746	16.268	OS-33422
-1373	-0.467	-82.070	V19-27	1.500	26.30	0.140	29.840			OS-33423
-2720	-2.367	-84.650	V19-28	0.060	2.24	0.030	1.710	1.731	1.631	OS-33424
-2720	-2.367	-84.650	V19-28	0.535	9.51	0.040	10.220	10.236	10.192	OS-33425
-2720	-2.367	-84.650	V19-28	1.010	12.75	0.050	14.290	15.285	14.131	OS-33426
-2720	-2.367	-84.650	V19-28	1.460	16.10	0.060	18.690	18.993	18.404	OS-33427
-2720	-2.367	-84.650	V19-28	1.935	27.00	0.120	31.270	0.000	0.000	OS-33428
-712	0.950	-89.350	V21-29	0.000	1.60	0.035	1.060	1.166	0.989	OS-33429
-712	0.950	-89.350	V21-29	1.010	13.40	0.050	15.575	15.798	15.191	OS-33533
-712	0.950	-89.350	V21-29	1.480	14.95	0.055	17.365	17.627	17.118	OS-33534
-617	-1.217	-89.680	V21-30	0.000	2.19	0.045	1.660	1.709	1.569	OS-20675
-617	-1.217	-89.680	V21-30	0.550	5.62	0.055	5.920	5.987	5.906	OS-30482
-617	-1.217	-89.680	V21-30	1.200	9.83	0.055	10.620	10.687	10.506	OS-20674
-617	-1.217	-89.680	V21-30	1.510	11.25	0.050	12.890	12.960	12.659	OS-20676
-617	-1.217	-89.680	V21-30	1.610	13.40	0.075				OS-21890
-617	-1.217	-89.680	V21-30	1.700	11.75	0.090	13.180	13.429	13.148	OS-30483
-617	-1.217	-89.680	V21-30	1.840	12.25	0.070	13.820	14.004	13.609	OS-30484
-617	-1.217	-89.680	V21-30	2.150	13.40	0.090	15.580	15.816	15.175	OS-30485
-617	-1.217	-89.680	V21-30	2.500	16.80	0.080	19.490	19.818	19.182	OS-20680
-617	-1.217	-89.680	V21-30	3.200	25.10	0.150	27.360	0.000	0.000	OS-30486
-617	-1.217	-89.680	V21-30	4.000	26.90	0.150	31.160	0.000	0.000	OS-15720
-3182	-5.517	-106.800	V21-40	0.000	2.70	0.030	2.250	2.334	2.161	OS-33535
-3182	-5.517	-106.800	V21-40	0.500	10.00	0.045	11.200	11.084	10.699	OS-33536
-3182	-5.517	-106.800	V21-40	0.780	16.25	0.060	18.860	19.169	18.571	OS-33537
-3182	-5.517	-106.800	V21-40	1.200	25.70	0.110	27.940			OS-33538
