Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction
LAST UPDATE: 10/2006 (Original receipt by WDC Paleo)
CONTRIBUTOR: David W. Lea, University of California Santa Barbara
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2006-090

SUGGESTED DATA CITATION: Lea, D.W., et al. 2006. 
Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2006-090.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Lea, D.W., D.K. Pak, C.L. Belanger, H.J. Spero, M.A. Hall, and N.J. Shackleton. 2006.
Paleoclimate history of Galápagos surface waters over the last 135,000 yr.
Quaternary Science Reviews, Vol. 25, Issues 11-12, June 2006, pp. 1152-1167,
doi:10.1016/j.quascirev.2005.11.010.

ABSTRACT:
Records of planktonic and benthic foraminiferal d18O and planktonic Mg/Ca 
from core TR163-22, just northwest of the Galápagos Islands, reveal a 
detailed (250–450 year resolution) climate history of the region over the 
last 135 thousand years (kyr). Sea surface temperatures (SSTs), reconstructed 
from G. ruber Mg/Ca, averaged 24.3±0.4 °C during the Holocene, 22.6±0.6 °C 
during marine isotope stage (MIS) 2, 3 and 4, and 26.0±0.9 °C during MIS 5e. 
Changes in SST lead changes in both planktonic and benthic d18O by an average 
~3 kyr, suggesting that SST changes in this region predated continental ice 
volume changes. Changes in SST display clear millennial scale variability, 
especially in marine isotope stage 3, with behavior somewhat similar to 
Antarctic proxy air temperature and South Pacific SST records. Removal of 
the temperature component from the planktonic d18O record demonstrates that 
glacial-interglacial d18O-water changes at this site were 1.0±0.2 per mil, 
similar to estimates for mean ocean shifts, implying that salinity changes 
due to regional hydrological variation between the Last Glacial Maximum and 
Holocene in the Galápagos region were minimal. Comparison between the 
TR163-22 SST record and an SST record from core TR163-19 North of the 
Equatorial Front reveals a largely similar broad-scale climate history, 
suggesting that changes in the Galápagos region were caused by large scale 
forcing rather than by local or regional dynamical changes. Changes in 
atmospheric greenhouse forcing are the most plausible explanation for 
the observed large-scale climate changes in the eastern equatorial Pacific.

GEOGRAPHIC REGION: Eastern Pacific, Galápagos Islands
PERIOD OF RECORD:  135 KyrBP - present


DESCRIPTION:  
This dataset includes G. ruber Mg/Ca and d18O, Uvigerina d18O, and calculated 
SST and d18Ow from core TR163-22, eastern equatorial Pacific.

Core TR163-22: 0°31'N, 92°24'W, 2830m. depth.

Ages are based on calibrated radiocarbon and marine isotope stage transitions. 
Mg/Ca is corrected for Al-silicated contamination as described in Lea et al., 2005, G^3. 
SST and O18w calculated as described in the primary reference. 
G. ruber Mg/Ca measured by isotope dilution ICP-MS at UCSB. 
G. ruber O18 measured by IRMS at UC Davis. 
Uvigerina O18 measured by IRMS at Univ. Cambridge, UK.


DATA:
Core TR163-22 Mg/Ca, d18O, d18Ow, and SST

Column 1: Depth (cm.)
Column 2: Age (Kyr)
Column 3: Mg/Ca G. ruber
Column 4: SST (°C)
Column 5: d18O G. ruber (per mil)
Column 6: d18Ow G. ruber (per mil)
Column 7: d18O Uvigerina (per mil)


Depth     Age   rubMg/Ca      SST     rubO18   rubO18w    UviO18
    2     1.2      2.467      24.1     -1.58      0.28      3.14
    6     1.7      2.635      24.8     -1.43      0.58      3.26
    8       2      2.539      24.4     -1.46      0.47      3.28
   10     2.3      2.416      23.9     -1.63      0.17      3.41
   12     2.6      2.576      24.6     -1.27      0.68      3.03
   16     3.1      2.347      23.6     -1.35      0.39      3.43
   18     3.4      2.502      24.3      -1.4      0.49      3.33
   20     3.7       2.36      23.6     -1.46      0.29       3.2
   22       4      2.493      24.2      -1.5      0.38      3.23
   26     4.5      2.443        24     -1.31      0.53      3.26
   28     4.8      2.538      24.4     -1.32       0.6      3.39
   30       5      2.448        24     -1.63      0.21      2.91
   32     5.3      2.587      24.6        -2     -0.03      3.28
   36     5.8      2.435        24     -1.51      0.32      3.01
   38     6.1      2.517      24.3     -1.67      0.23       2.9
   40     6.3       2.43      23.9     -1.59      0.23      3.06
   42     6.6      2.446        24     -1.66      0.17       2.8
   46     7.1      2.534      24.4     -1.67      0.24      3.05
   48     7.3      2.517      24.3     -1.81       0.1      3.16
   50     7.6      2.523      24.4     -1.59      0.32      3.22
   52     7.8      2.537      24.4     -1.39      0.53      3.27
   56     8.3      2.624      24.8     -1.03      0.97      3.48
   58     8.5       2.47      24.1     -1.28      0.58      3.59
   60     8.8      2.478      24.2     -1.12      0.75      3.48
   62       9      2.507      24.3     -1.27      0.63      3.41
   66     9.5      2.618      24.8     -1.24      0.75      3.31
   68     9.7      2.532      24.4     -1.26      0.66      3.66
   70     9.9      2.605      24.7     -1.41      0.57       3.6
   72    10.2       2.72      25.2     -1.33      0.75      3.55
   76    10.6      2.615      24.8     -1.04      0.95      3.76
   78    10.8      2.557      24.5     -0.92      1.01      3.66
   80    11.1      2.599      24.7     -0.97         1       3.8
   82    11.3      2.815      25.6     -0.99      1.17      3.67
   86    11.7      2.636      24.8     -0.58      1.43      4.06
   88      12      2.543      24.4     -0.24      1.68      4.02
   90    12.2      2.445        24     -0.67      1.16      4.02
   92    12.4      2.452        24     -0.66      1.18      4.09
   96    12.8      2.432        24     -0.63      1.19       4.1
   98      13      2.373      23.7     -0.19      1.57      4.17
  100    13.2      2.488      24.2      -0.4      1.47      4.21
  102    13.5      2.456      24.1     -0.58      1.27      4.21
  106    13.9      2.412      23.9      -0.6       1.2      4.15
  108    14.1       2.57      24.6     -0.42      1.53      4.28
  110    14.3      2.499      24.3     -0.83      1.06      4.19
  112    14.5      2.273      23.2     -0.79      0.87      4.23
  116    14.9      2.613      24.7     -0.56      1.43      4.42
  118    15.1       2.47      24.1     -0.19      1.67      4.39
  120    15.3      2.489      24.2     -0.31      1.57      4.52
  122    15.5       2.51      24.3     -0.18      1.71      4.62
  126    15.9      2.497      24.2     -0.39       1.5       4.6
  128    16.1      2.535      24.4     -0.09      1.83      4.68
  130    16.3      2.337      23.5     -0.21      1.52      4.72
  132    16.5      2.428      23.9     -0.44      1.38      4.55
  136    16.9       2.28      23.2     -0.17      1.51      4.75
  138    17.1       2.04        22      0.13      1.54      4.65
  140    17.3       2.21      22.9     -0.05      1.55       4.6
  142    17.5      2.351      23.6      -0.1      1.65      4.65
  144    17.7       2.32      23.4     -0.21       1.5      4.51
  146    17.9      2.415      23.9     -0.18      1.63      4.62
  148    18.1      2.313      23.4     -0.24      1.47      4.82
  150    18.2      2.193      22.8     -0.39      1.19      4.87
  152    18.4      2.162      22.6      -0.4      1.15      4.91
  154    18.6       2.27      23.2     -0.17      1.49      4.81
  156    18.8      2.143      22.5     -0.06      1.47      4.61
  158      19      2.138      22.5     -0.28      1.25      4.73
