/* DATA DESCRIPTION:
Citation:	Benway, HM et al. (2006): (Table S3) Isotope and Mg/Ca measurements from sediment core ME0005A-43JC of tropical Pacific. doi:10.1594/PANGAEA.742879, 
	In Supplement to: Benway, Heather M; Mix, Alan C; Haley, Brian A; Klinkhammer, Gary P (2006): Eastern Pacific Warm Pool paleosalinity and climate variability: 0-30 kyr. Paleoceanography, 21(3), PA3008, doi:10.1029/2005PA001208
Coverage:	LATITUDE: 7.855800 * LONGITUDE: -83.608300
	MINIMUM AGE: 0.492 ka BP * MAXIMUM AGE: 28.290 ka BP
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 2.8 m
Event(s):	ME0005A-43JC * LATITUDE: 7.855800 * LONGITUDE: -83.608300 * LOCATION: South Pacific Ocean * CAMPAIGN: ME0005A (NEMO) * BASIS: Melville * DEVICE: Gravity corer (GC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth)
	AGE [ka BP] (Age)
	Neogloboquadrina dutertrei, d18O [per mil PDB] (N. dutertrei d18O) * PI: Benway, Heather M (eMail: hbenway@coas.oregonstate.edu) * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: vs. VPDB
	Globigerinoides ruber, d18O [per mil PDB] (G. ruber d18O) * PI: Benway, Heather M (eMail: hbenway@coas.oregonstate.edu) * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: vs. VPDB
	Globigerinoides ruber, Magnesium/Calcium ratio [mmol/mol] (G. ruber Mg/Ca) * PI: Benway, Heather M (eMail: hbenway@coas.oregonstate.edu)
	Sea surface temperature [°C] (SST) * PI: Benway, Heather M (eMail: hbenway@coas.oregonstate.edu) * METHOD: Calculated from Mg/Ca (Anand et al., 2003) (URI: doi:10.1029/2002PA000846)
	delta 18O, water [per mil SMOW] (d18O H2O) * PI: Benway, Heather M (eMail: hbenway@coas.oregonstate.edu) * METHOD: Calculated * COMMENT: vs. SMOW, G. ruber seawater d18O uncorrected for ice volume
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	592 data points
*/
Depth [m]	Age [ka BP]	N. dutertrei d18O [per mil PDB]	G. ruber d18O [per mil PDB]	G. ruber Mg/Ca [mmol/mol]	SST [°C]	d18O H2O [per mil SMOW]
0.01	0.492	0.26		4.21	26.7	
0.03	0.857	0.02	-2.47	3.87	25.8	0.065
0.05	1.222	-0.18		3.44	24.5	
0.06	1.404	0.10		3.53	24.8	
0.08	1.768	0.20	-2.51	3.89	25.8	0.041
0.10	2.133	0.46		4.35	27.1	
0.11	2.315	0.18	-2.55	4.17	26.6	0.160
0.13	2.680	0.24	-2.76	3.69	25.2	-0.336
0.15	3.045	0.12	-2.46	4.73	28.0	0.541
0.16	3.227	0.07	-2.58	3.98	26.1	0.023
0.18	3.592	0.39	-2.68	4.83	28.2	0.371
0.20	3.956	0.25	-2.56	4.71	28.0	0.431
0.21	4.138	0.06	-2.86	3.57	24.9	-0.509
0.23	4.503	0.10		3.99	26.1	
0.25	4.868	0.63	-2.41	4.49	27.4	0.470
0.26	5.050	0.18	-2.39	3.97	26.1	0.207
0.28	5.245	0.45	-2.65	4.08	26.4	0.007
0.30	5.440	0.43	-2.60	4.02	26.2	0.024
0.31	5.538	0.22	-2.18	4.04	26.3	0.457
0.33	5.733	0.35	-2.29	4.34	27.1	0.515
0.35	5.928	0.66	-2.38	4.20	26.7	0.344
0.36	6.025	0.50	-2.52	4.06	26.3	0.129
0.38	6.220	0.17	-2.49	4.10	26.4	0.184
0.40	6.416	0.46	-2.53	4.21	26.7	0.207
0.41	6.513	0.37	-2.54	3.84	25.7	-0.022
0.43	6.708	0.43	-2.15	4.15	26.6	0.549
0.45	6.903	0.72	-2.46	4.01	26.2	0.160
0.46	7.001	0.64	-2.70	4.16	26.6	0.007
0.48	7.196	0.60	-2.26	4.18	26.6	0.458
0.50	7.391	0.54	-2.35	3.70	25.3	0.087
0.51	7.488	0.35	-2.04	4.81	28.2	1.003
0.53	7.684	0.24	-2.43	3.90	25.9	0.123
0.55	7.879	0.55	-2.61	3.90	25.9	-0.057
0.56	7.976	0.37	-2.73	4.19	26.7	-0.006
0.58	8.171	0.74	-2.10	4.16	26.6	0.605
0.60	8.366	0.76	-2.24	3.96	26.0	0.349
0.61	8.464	0.58	-2.26	4.06	26.3	0.387
0.63	8.659	0.27	-2.37	3.34	24.2	-0.171
0.65	8.854	0.73	-1.88	3.91	25.9	0.682
0.66	8.952	0.61	-1.96	4.38	27.2	0.864
0.68	9.147	0.63	-1.97	3.99	26.1	0.635
0.70	9.342	0.39	-2.20	4.19	26.7	0.522
0.71	9.439	0.78	-2.36	4.31	27.0	0.429
0.73	9.634	0.40	-2.00	3.87	25.8	0.541
0.75	9.829	0.64	-2.02	4.04	26.2	0.615
0.76	9.927	0.64	-1.63	4.27	26.9	1.136
0.78	10.122	0.52	-2.28	3.91	25.9	0.280
0.80	10.317	0.77	-2.10	3.93	26.0	0.474
0.81	10.415	0.58	-1.95	3.92	25.9	0.616
0.83	10.610	0.43	-2.16	4.13	26.5	0.527
0.85	10.805	0.81	-1.84	3.69	25.2	0.584
0.86	10.902	0.90	-1.96	4.60	27.7	0.979
0.88	11.097	1.33	-1.74	3.77	25.5	0.736
0.90	11.292	1.07	-1.24	4.04	26.3	1.399
0.91	11.390	0.60	-1.28	4.12	26.5	1.407
0.93	11.599	0.68	-1.69	4.06	26.3	0.959
0.95	11.807	0.59	-1.45	3.91	25.9	1.114
0.96	11.911	0.90	-1.29	3.69	25.3	1.140
0.98	12.120	0.92	-1.37	3.76	25.5	1.104
1.00	12.328	0.82	-1.51	4.17	26.6	1.200
1.01	12.433	1.08	-1.41	4.04	26.3	1.227
1.03	12.641	0.97	-1.44	3.85	25.7	1.088
1.06	12.954	1.15	-1.63	3.91	25.9	0.932
1.08	13.162	0.95				
1.11	13.475	0.83	-1.85	4.02	26.2	0.774
1.13	13.684	1.06	-1.66	3.83	25.7	0.852
1.16	13.996	0.89	-1.56	3.99	26.1	1.052
1.18	14.205	0.48	-1.61	3.95	26.0	0.975
1.21	14.518	0.48	-1.66	3.68	25.2	0.764
1.23	14.726	0.74	-1.37	3.90	25.9	1.187
1.26	15.039	0.58	-1.06	4.04	26.3	1.577
1.28	15.247	0.84	-1.28	3.82	25.6	1.230
1.31	15.560	1.46	-0.85	4.03	26.2	1.782
1.33	15.740	1.14	-0.77	3.16	23.5	1.297
1.36	16.010	1.48	-0.78	3.96	26.0	1.811
1.38	16.190	1.53	-0.63	3.72	25.4	1.817
1.41	16.460	1.34	-0.74	3.41	24.4	1.509
1.43	16.640	1.28	-1.00	3.58	24.9	1.358
1.46	16.910	1.33	-0.93	3.78	25.5	1.550
1.48	17.090	1.42	-0.79	3.61	25.0	1.586
1.51	17.360	1.44	-0.90	3.55	24.8	1.441
1.53	17.540	1.49	-0.83	3.35	24.2	1.375
1.56	17.810	1.53	-0.72	3.39	24.3	1.512
1.58	17.990	1.45	-1.06	3.42	24.4	1.189
1.61	18.260	1.63	-0.85	3.29	24.0	1.310
1.63	18.440	1.56	-1.06			
1.66	18.710	1.47	-0.98	3.11	23.4	1.053
1.68	18.890	1.53	-0.71	3.13	23.4	1.339
1.71	19.160	1.45	-0.89	3.19	23.6	1.203
1.73	19.340	1.58	-0.96	3.07	23.2	1.039
1.76	19.610	1.44	-0.70	3.27	23.9	1.445
1.78	19.790	1.58	-0.87	3.32	24.1	1.315
1.81	20.060	1.34	-1.09	3.12	23.4	0.949
1.83	20.240	1.66	-0.58			
1.86	20.510	1.67	-1.05	3.29	24.0	1.114
1.88	20.604		-0.89	3.09	23.3	1.124
1.91	20.745	1.37	-0.95	3.37	24.2	1.266
1.93	20.839	1.63	-0.70			
1.96	20.981	1.54	-1.02	3.29	24.0	1.142
1.98	21.075	1.89	-0.88	3.22	23.8	1.234
2.01	21.216	1.55	-0.55	3.17	23.6	1.526
2.03	21.310	1.77	-0.26	3.23	23.8	1.862
2.06	21.796	1.54	-0.74	3.44	24.5	1.524
2.08	22.120	1.65		3.47	24.6	
2.11	22.297	1.62	-0.60	3.40	24.4	1.641
2.13	22.415	1.59	-0.57	3.47	24.6	1.715
2.16	22.592	1.43	-0.44	3.48	24.6	1.851
2.18	22.710	1.51	-0.91	3.60	25.0	1.460
2.21	22.887	1.67	-1.04	3.74	25.4	1.422
2.23	23.005	1.46	-1.01	3.48	24.6	1.283
2.26	23.182	1.51	-0.91	3.81	25.6	1.589
2.28	23.300	1.13	-1.27			
2.31	23.440	1.53	-0.51	3.73	25.4	1.943
2.33	23.533	2.06	-0.75	3.39	24.3	1.485
2.36	23.673		-0.64	3.57	24.9	1.711
2.38	23.767	1.48	-0.43	3.74	25.4	2.027
2.41	23.907	1.74	-0.62	3.76	25.5	1.854
2.43	24.000	1.66	-0.37	3.76	25.5	2.102
2.46	24.390	1.93	-0.87	3.46	24.6	1.410
2.48	24.650	1.89	-0.72	3.51	24.7	1.590
2.51	25.040	1.85	-0.69	3.37	24.3	1.530
2.56	25.690	1.87	-0.81			
2.61	26.340	1.74	-1.12			
2.66	26.990	1.71	-0.86	3.68	25.2	1.558
2.71	27.640	1.47		3.67	25.2	
2.76	28.290	1.58	-1.27	3.59	25.0	1.098
