/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core MD98-2181 using Mg/Ca-ratios. doi:10.1594/PANGAEA.737003, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 6.300000 * LONGITUDE: 125.820000
	MINIMUM AGE: 0.014 ka BP * MAXIMUM AGE: 10.416 ka BP
Event(s):	MD98-2181 (MD982181) * LATITUDE: 6.300000 * LONGITUDE: 125.820000 * ELEVATION: -2114.0 m * RECOVERY: 36.78 m * CAMPAIGN: MD111 (IMAGES IV) (URI: http://www.ifremer.fr/sismer/program/csus/htql/campagne.htql?CRNO=98200030) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy Mg/Ca (URL: hdl:10013/epic.35231.d001) * METHOD: SST from Mg/Ca ratios
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	212 data points
*/
Age [ka BP]	SST [¡C]
0.014	29.10
0.091	28.66
0.179	29.29
0.189	28.59
0.217	27.94
0.235	28.15
0.252	28.60
0.260	29.31
0.283	29.26
0.304	28.90
0.311	28.32
0.330	28.87
0.354	29.86
0.370	28.56
0.379	27.85
0.410	29.47
0.431	28.34
0.446	29.51
0.459	30.15
0.466	28.46
0.470	29.01
0.476	28.06
0.481	29.05
0.485	28.56
0.493	29.16
0.496	29.03
0.498	28.65
0.500	28.68
0.503	28.17
0.508	28.97
0.510	29.69
0.523	29.40
0.531	30.22
0.536	30.11
0.540	29.19
0.544	30.14
0.550	28.71
0.560	28.22
0.605	29.39
0.631	28.92
0.670	29.62
0.690	29.75
0.711	28.98
0.734	29.78
0.759	30.32
0.778	30.50
0.799	29.89
0.851	28.50
0.891	28.56
0.926	29.06
0.981	29.39
1.000	30.09
1.040	29.75
1.082	29.04
1.125	29.71
1.171	29.25
1.254	29.60
1.267	30.12
1.317	29.71
1.370	29.31
1.424	29.52
1.493	28.51
1.551	27.96
1.595	29.34
1.686	28.91
1.780	28.40
1.876	28.38
1.909	28.58
1.942	28.83
2.042	28.49
2.162	28.67
2.214	28.10
2.354	28.64
2.424	28.77
2.566	29.22
2.708	29.21
2.743	28.92
2.848	28.01
2.917	28.83
2.986	28.89
3.053	29.57
3.120	28.42
3.185	28.26
3.280	30.09
3.311	29.36
3.371	27.95
3.485	28.75
3.538	29.22
3.588	28.36
3.624	28.83
3.636	28.78
3.680	28.31
3.722	28.27
3.741	29.91
3.759	28.66
3.793	29.98
3.822	30.38
3.853	29.58
3.870	29.68
3.875	30.05
3.882	29.58
3.886	29.69
3.892	30.12
3.897	29.65
3.906	28.76
3.918	28.95
3.930	29.18
3.938	29.27
3.944	29.53
3.949	29.54
3.955	29.61
3.960	28.85
3.964	28.82
3.977	29.12
3.988	30.23
3.993	28.70
4.051	29.28
4.187	28.98
4.256	28.99
4.324	28.84
4.460	30.02
4.597	29.22
4.733	29.87
4.801	30.19
4.869	29.88
5.006	30.36
5.210	28.63
5.278	29.44
5.346	29.25
5.483	28.52
5.551	30.13
5.585	29.08
5.653	29.74
5.755	29.45
5.789	29.56
5.858	29.79
5.926	28.93
5.994	30.31
6.062	29.18
6.096	29.78
6.130	28.88
6.164	29.55
6.181	29.40
6.198	29.40
6.233	29.84
6.267	29.74
6.301	29.29
6.335	29.75
6.369	29.59
6.403	29.67
6.437	29.56
6.471	29.49
6.607	29.81
6.710	29.59
6.744	29.47
6.778	29.41
6.812	30.02
6.846	28.93
6.880	29.54
6.914	29.07
6.948	29.82
6.982	29.31
7.016	29.63
7.034	30.49
7.051	29.91
7.085	30.22
7.119	29.38
7.153	28.84
7.187	29.29
7.221	29.51
7.255	29.84
7.289	29.52
7.323	29.83
7.357	29.69
7.425	30.08
7.460	29.10
7.562	29.57
7.630	29.72
7.698	30.12
7.834	29.15
7.886	30.24
7.903	29.96
7.971	29.50
8.039	28.46
8.107	29.49
8.209	29.16
8.278	29.95
8.312	29.97
8.346	29.50
8.414	29.99
8.482	29.61
8.618	29.58
8.738	29.18
8.823	29.54
8.874	29.59
8.959	29.03
9.027	28.54
9.096	29.26
9.135	29.66
9.234	29.39
9.332	29.78
9.431	30.11
9.529	29.74
9.628	30.50
9.751	28.93
9.825	30.23
9.924	29.58
10.022	29.52
10.121	30.10
10.219	30.18
10.318	30.47
10.416	29.87
