0.005	0.906	0.958	27.9
0.025	0.931	0.961	28
0.045	0.957	0.944	27.5
0.055	0.97	0.931	27
0.065	0.983	0.95	27.7
0.085	1.009	0.96	28
0.095	1.022	0.942	27.4
0.105	1.035	0.935	27.2
0.125	1.061	0.944	27.5
0.135	1.074	0.936	27.2
0.145	1.087	0.963	28.1
0.165	1.113	0.939	27.3
0.175	1.126	0.941	27.4
0.185	1.139	0.946	27.6
0.205	1.165	0.929	27
0.215	1.178	0.931	27.1
0.225	1.191	0.944	27.5
0.245	1.217	0.949	27.6
0.255	1.23	0.932	27.1
0.265	1.243	0.952	27.7
0.285	1.269	0.938	27.3
0.295	1.282	0.929	27
0.305	1.295	0.933	27.1
0.325	1.321	0.941	27.4
0.345	1.347	0.961	28
0.365	1.386	0.941	27.4
0.375	1.408	0.929	27
0.385	1.43	0.954	27.8
0.405	1.474	0.936	27.2
0.425	1.518	0.937	27.3
0.445	1.561	0.935	27.2
0.465	1.605	0.92	26.7
0.485	1.649	0.938	27.3
0.495	1.671	0.937	27.2
0.505	1.693	0.935	27.2
0.525	1.737	0.942	27.4
0.545	1.781	0.944	27.5
0.565	1.825	0.937	27.3
0.585	1.869	0.955	27.8
0.605	1.913	0.939	27.3
0.625	1.956	0.954	27.8
0.645	2	0.93	27
0.665	2.044	0.952	27.7
0.685	2.088	0.955	27.8
0.705	2.132	0.96	28
0.725	2.188	0.943	27.5
0.745	2.248	0.936	27.2
0.765	2.308	0.953	27.8
0.785	2.368	0.952	27.7
0.805	2.428	0.949	27.6
0.815	2.458	0.932	27.1
0.825	2.488	0.962	28.1
0.845	2.548	0.94	27.4
0.865	2.608	0.955	27.8
0.885	2.668	0.93	27
0.905	2.728	0.944	27.5
0.925	2.783	0.94	27.4
0.935	2.809	0.935	27.2
0.945	2.836	0.947	27.6
0.965	2.889	0.938	27.3
0.985	2.942	0.94	27.4
1.005	2.995	0.935	27.2
1.015	3.021	0.941	27.4
1.025	3.048	0.933	27.1
1.045	3.101	0.943	27.5
1.055	3.127	0.94	27.3
1.065	3.154	0.956	27.9
1.085	3.207	0.942	27.4
1.095	3.233	0.95	27.7
1.125	3.313	0.951	27.7
1.135	3.339	0.962	28.1
1.165	3.419	0.93	27
1.185	3.472	0.956	27.9
1.205	3.525	0.939	27.3
1.225	3.578	0.962	28
1.285	3.724	0.937	27.2
1.305	3.761	0.941	27.4
1.345	3.834	0.956	27.9
1.385	3.907	0.973	28.4
1.405	3.943	0.944	27.5
1.425	3.98	0.951	27.7
1.445	4.016	0.95	27.7
1.465	4.052	0.944	27.5
1.485	4.089	0.95	27.7
1.505	4.125	0.947	27.6
1.525	4.162	0.94	27.4
1.545	4.198	0.965	28.2
1.565	4.235	0.943	27.5
1.585	4.271	0.954	27.8
1.605	4.308	0.951	27.7
1.625	4.344	0.96	28
1.645	4.381	0.944	27.5
1.665	4.417	0.951	27.7
1.685	4.453	0.945	27.5
1.725	4.542	0.938	27.3
1.745	4.6	0.947	27.6
1.765	4.657	0.946	27.6
1.785	4.714	0.95	27.7
1.805	4.772	0.946	27.6
1.825	4.829	0.95	27.7
1.845	4.887	0.936	27.2
1.865	4.944	0.936	27.2
1.885	5.002	0.941	27.4
1.905	5.059	0.959	28
1.925	5.117	0.943	27.5
1.945	5.174	0.932	27.1
1.965	5.231	0.937	27.2
1.985	5.289	0.941	27.4
2.025	5.404	0.946	27.5
2.045	5.461	0.943	27.5
2.065	5.519	0.939	27.3
2.085	5.576	0.935	27.2
2.145	5.79	0.944	27.5
2.185	5.953	0.915	26.6
2.205	6.035	0.949	27.6
2.225	6.116	0.947	27.6
2.245	6.197	0.939	27.3
2.265	6.279	0.964	28.1
2.285	6.36	0.942	27.4
2.305	6.442	0.946	27.5
2.325	6.523	0.947	27.6
2.345	6.604	0.953	27.8
2.365	6.686	0.945	27.5
2.405	6.849	0.942	27.4
2.425	6.93	0.937	27.2
2.445	7.011	0.938	27.3
2.485	7.174	0.928	27
2.505	7.256	0.917	26.6
2.525	7.342	0.931	27.1
2.565	7.519	0.922	26.8
2.585	7.607	0.927	26.9
2.605	7.696	0.919	26.7
2.625	7.784	0.923	26.8
2.645	7.872	0.932	27.1
2.665	7.961	0.927	27
2.685	8.049	0.921	26.7
2.705	8.138	0.935	27.2
2.725	8.226	0.932	27.1
2.745	8.314	0.934	27.2
2.765	8.403	0.923	26.8
2.785	8.491	0.938	27.3
2.805	8.579	0.925	26.9
2.825	8.668	0.93	27
2.845	8.756	0.921	26.8
2.865	8.844	0.942	27.4
2.885	8.933	0.92	26.7
2.905	9.021	0.918	26.6
2.925	9.11	0.918	26.7
2.945	9.198	0.936	27.2
2.965	9.286	0.924	26.8
2.985	9.375	0.927	27
3.045	9.64	0.922	26.8
3.065	9.728	0.937	27.2
3.085	9.817	0.9	26.1
3.105	9.905	0.928	27
3.125	9.988	0.914	26.5
3.145	10.069	0.922	26.8
3.165	10.149	0.916	26.6
3.175	10.19	0.918	26.6
3.185	10.23	0.931	27.1
3.205	10.311	0.935	27.2
3.225	10.392	0.917	26.6
