/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core MD97-2151 using alkenones. doi:10.1594/PANGAEA.737256, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 8.728000 * LONGITUDE: 109.869000
	MINIMUM AGE: 0.906 ka BP * MAXIMUM AGE: 10.392 ka BP
Event(s):	MD97-2151 (MD972151) * LATITUDE: 8.728000 * LONGITUDE: 109.869000 * ELEVATION: -1598.0 m * RECOVERY: 26.72 m * LOCATION: South China Sea (URI: http://en.wikipedia.org/wiki/South_China_Sea) * CAMPAIGN: MD106 (IMAGES III - IPHIS) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=97200010) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	162 data points
*/
Age [ka BP]	SST [¡C]
0.906	27.9
0.931	28.0
0.957	27.5
0.970	27.0
0.983	27.7
1.009	28.0
1.022	27.4
1.035	27.2
1.061	27.5
1.074	27.2
1.087	28.1
1.113	27.3
1.126	27.4
1.139	27.6
1.165	27.0
1.178	27.1
1.191	27.5
1.217	27.6
1.230	27.1
1.243	27.7
1.269	27.3
1.282	27.0
1.295	27.1
1.321	27.4
1.347	28.0
1.386	27.4
1.408	27.0
1.430	27.8
1.474	27.2
1.518	27.3
1.561	27.2
1.605	26.7
1.649	27.3
1.671	27.2
1.693	27.2
1.737	27.4
1.781	27.5
1.825	27.3
1.869	27.8
1.913	27.3
1.956	27.8
2.000	27.0
2.044	27.7
2.088	27.8
2.132	28.0
2.188	27.5
2.248	27.2
2.308	27.8
2.368	27.7
2.428	27.6
2.458	27.1
2.488	28.1
2.548	27.4
2.608	27.8
2.668	27.0
2.728	27.5
2.783	27.4
2.809	27.2
2.836	27.6
2.889	27.3
2.942	27.4
2.995	27.2
3.021	27.4
3.048	27.1
3.101	27.5
3.127	27.3
3.154	27.9
3.207	27.4
3.233	27.7
3.313	27.7
3.339	28.1
3.419	27.0
3.472	27.9
3.525	27.3
3.578	28.0
3.724	27.2
3.761	27.4
3.834	27.9
3.907	28.4
3.943	27.5
3.980	27.7
4.016	27.7
4.052	27.5
4.089	27.7
4.125	27.6
4.162	27.4
4.198	28.2
4.235	27.5
4.271	27.8
4.308	27.7
4.344	28.0
4.381	27.5
4.417	27.7
4.453	27.5
4.542	27.3
4.600	27.6
4.657	27.6
4.714	27.7
4.772	27.6
4.829	27.7
4.887	27.2
4.944	27.2
5.002	27.4
5.059	28.0
5.117	27.5
5.174	27.1
5.231	27.2
5.289	27.4
5.404	27.5
5.461	27.5
5.519	27.3
5.576	27.2
5.790	27.5
5.953	26.6
6.035	27.6
6.116	27.6
6.197	27.3
6.279	28.1
6.360	27.4
6.442	27.5
6.523	27.6
6.604	27.8
6.686	27.5
6.849	27.4
6.930	27.2
7.011	27.3
7.174	27.0
7.256	26.6
7.342	27.1
7.519	26.8
7.607	26.9
7.696	26.7
7.784	26.8
7.872	27.1
7.961	27.0
8.049	26.7
8.138	27.2
8.226	27.1
8.314	27.2
8.403	26.8
8.491	27.3
8.579	26.9
8.668	27.0
8.756	26.8
8.844	27.4
8.933	26.7
9.021	26.6
9.110	26.7
9.198	27.2
9.286	26.8
9.375	27.0
9.640	26.8
9.728	27.2
9.817	26.1
9.905	27.0
9.988	26.5
10.069	26.8
10.149	26.6
10.190	26.6
10.230	27.1
10.311	27.2
10.392	26.6
