/* DATA DESCRIPTION:
Citation:	Bolliet, T et al. (2011): Planktonic and benthic foraminiferal stable isotopes, SSTs and thermocline temperature, coccoliths and benthic foraminiferal assemblages, and productivity reconstruction for sediment core MD06-3067. doi:10.1594/PANGAEA.770282, 
	In Supplement to: Bolliet, Timothé; Holbourn, Ann; Kuhnt, Wolfgang; Laj, Carlo E; Kissel, Catherine; Beaufort, Luc; Kienast, Markus; Andersen, Nils; Garbe-Schönberg, Carl-Dieter (2011): Mindanao Dome variability over the last 160 kyr: Episodic glacial cooling of the West Pacific Warm Pool. Paleoceanography, 26, PA1208, doi:10.1029/2010PA001966
Abstract:	We present sea surface, upper thermocline, and benthic d18O data, as well as temperature and paleoproductivity proxy data, from the International Marine Global Change Study Program (IMAGES) Core MD06-3067 (6°31'N, 126°30'E, 1575 m water depth), located in the western equatorial Pacific Ocean within the flow path of the Mindanao Current. Our records reveal considerable glacial-interglacial and suborbital variability in the Mindanao Dome upwelling over the last 160 kyr. Dome activity generally intensified during glacial intervals resulting in cooler thermocline waters, whereas it substantially declined during interglacials, in particular in the early Holocene and early marine oxygen isotope stage (MIS) 5e, when upwelling waters did not reach the thermocline. During MIS 3 and MIS 2, enhanced surface productivity together with remarkably low SST and low upper ocean thermal contrast provide evidence for episodic glacial upwelling to the surface, whereas transient surface warming marks periodic collapses of the Mindanao Dome upwelling during Heinrich events. We attribute the high variability during MIS 3 and MIS 2 to changes in the El Niño Southern Oscillation state that affected boreal winter monsoonal winds and upper ocean circulation. Glacial upwelling intensified when a strong cyclonic gyre became established, whereas El Niño-like conditions during Heinrich events tended to suppress the cyclonic circulation, reducing Ekman transport. Thus, our findings demonstrate that variations in the Mindanao Dome upwelling are closely linked to the position and intensity of the tropical convection and also reflect far-field influences from the high latitudes.
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 6.514330 * LONGITUDE: 126.497660
	DATE/TIME START: 2008-03-06T07:58:00 * DATE/TIME END: 2008-03-06T07:58:00
	MINIMUM DEPTH, sediment/rock: 0.1 m * MAXIMUM DEPTH, sediment/rock: 15.5 m
Event(s):	MD06-3067 * LATITUDE: 6.514330 * LONGITUDE: 126.497660 * DATE/TIME: 2008-03-06T07:58:00 * ELEVATION: -1575.0 m * Recovery: 13.63 m * LOCATION: Mindanao * CAMPAIGN: MD155 (IMAGES XIV - MARCO POLO 2) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer II (CALYPSO2) * COMMENT: core bent
Parameter(s):	DEPTH, sediment/rock [m] (Depth)
	AGE [ka BP] (Age)
	Foraminifera, benthic d18O [per mil PDB] (Foram bent d18O) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Mass spectrometer Finnigan MAT 251 * COMMENT: Planulina wuellerstorfi and/or Cibicidoides mundulus
	Globigerinoides ruber white, d18O [per mil PDB] (G. ruber w d18O) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Calculated from Mg/Ca (Anand et al., 2003) (URI: doi:10.1029/2002PA000846) * COMMENT: based on G. ruber
	Globigerinoides ruber white, Magnesium/Calcium ratio [mmol/mol] (G. ruber w Mg/Ca) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: ICP-OES, Inductively coupled plasma - optical emission spectrometry
	delta 18O, water [per mil SMOW] (d18O H2O) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Calculated (Bemis et al., 1998) (URI: doi:10.1029/98PA00070) * COMMENT: based on G. ruber
	delta 18O, water [per mil SMOW] (d18O H2O) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Calculated (Bemis et al., 1998) (URI: doi:10.1029/98PA00070) * COMMENT: based on G. ruber corrected from reconstructed sea level
	Temperature, calculated [°C] (T cal) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Calculated from Mg/Ca (Anand et al., 2003) (URI: doi:10.1029/2002PA000846) * COMMENT: thermocline water, based on P. obliquiloculata
	Pulleniatina obliquiloculata, Magnesium/Calcium ratio [mmol/mol] (P. obliqu. Mg/Ca) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: ICP-OES, Inductively coupled plasma - optical emission spectrometry
	Pulleniatina obliquiloculata, d18O [per mil PDB] (P. obliqu. d18O) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Mass spectrometer Finnigan MAT 251
	delta 18O, water [per mil SMOW] (d18O H2O) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Calculated (Bemis et al., 1998) (URI: doi:10.1029/98PA00070) * COMMENT: based on P. obliquiloculata
	delta 18O, water [per mil SMOW] (d18O H2O) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Calculated (Bemis et al., 1998) (URI: doi:10.1029/98PA00070) * COMMENT: based on P. obliquiloculata corrected from reconstructed sea level
	Globobulimina spp. [%] (Globobulimina spp.) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting >250 µm fraction * COMMENT: + ovoides
	Globocassidulina subglobosa [%] (G. subglobosa) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting >250 µm fraction
	Pyrgo spp. [%] (Pyrgo spp.) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting >250 µm fraction
	Loxostomina sp. [%] (Loxostomina sp.) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting >250 µm fraction
	Gephyrocapsa oceanica [%] (G. oceanica) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting, diatoms
	Gephyrocapsa muellerae [%] (G. muellerae) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting, diatoms
	Helicosphaera spp. [%] (Helicosphaera spp.) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting, diatoms
	Emiliania huxleyi [%] (E. huxleyi) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting, diatoms
	Florisphaera profunda [%] (F. profunda) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting, diatoms
	Gephyrocapsa ericsonii [%] (G. ericsonii) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Counting, diatoms
	Productivity of carbon [g/m**2/a] (Pnew) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: PP calculated (Beaufort et al., 1997) (URI: doi:10.1126/science.278.5342.1451)
	Temperature, difference [°C] (delta T) * PI: Bolliet, Timothé (eMail: tb@gpi.uni-kiel.de) * METHOD: Calculated * COMMENT: surface - thermocline waters
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	5952 data points
*/
Depth [m]	Age [ka BP]	Foram bent d18O [per mil PDB]	G. ruber w d18O [per mil PDB]	SST (1-12) [°C]	G. ruber w Mg/Ca [mmol/mol]	d18O H2O [per mil SMOW] (based on G. ruber)	d18O H2O [per mil SMOW] (based on G. ruber corrected f...)	T cal [°C]	P. obliqu. Mg/Ca [mmol/mol]	P. obliqu. d18O [per mil PDB]	d18O H2O [per mil SMOW] (based on P. obliquiloculata)	d18O H2O [per mil SMOW] (based on P. obliquiloculata c...)	Globobulimina spp. [%]	G. subglobosa [%]	Pyrgo spp. [%]	Loxostomina sp. [%]	G. oceanica [%]	G. muellerae [%]	Helicosphaera spp. [%]	E. huxleyi [%]	F. profunda [%]	G. ericsonii [%]	Pnew [g/m**2/a]	delta T [°C]
0.110	3.39	2.61	-2.41																					
0.200	3.61	2.77	-2.56										0.6	11.2	3.7	16.8	8.9	7.9	1.2	19.5	46.2	16.2	145.1	
0.300	3.86	2.65	-2.68					21.50	2.28								9.5	8.6	1.4	20.9	42.5	17.0	154.3	
0.400	4.14	2.91	-2.46	27.39	4.47	0.08	0.06	22.74	2.53	-1.44	0.13	0.12	0.0	16.6	0.0	13.9	8.0	6.8	1.1	26.4	43.9	13.8	150.8	4.66
0.500	4.44	2.80	-2.04					22.01	2.38	-1.42	0.00	-0.02					1.5	8.9	0.4	12.8	58.4	18.0	118.2	
0.600	4.81	2.51	-2.56	27.93	4.69	0.09	0.07	23.57	2.74	-1.21	0.53	0.51	1.3	18.0	1.7	13.3	11.3	8.2	1.4	23.1	41.9	14.1	156.0	4.36
0.700	5.39	2.65	-2.59	27.78	4.63	0.03	0.01	22.22	2.42	-1.42	0.05	0.02					9.6	6.7	1.0	22.8	44.2	15.7	150.1	5.56
0.800	6.09	2.60	-2.52	29.39	5.35	0.44	0.40	24.08	2.87	-1.41	0.44	0.41	0.0	15.1	7.3	9.5	12.6	9.9	1.3	23.8	38.9	13.5	164.5	5.30
0.900	6.85	2.64	-2.71	27.49	4.51	-0.15	-0.20	22.88	2.57	-1.00	0.60	0.55	0.6	8.5	9.1	0.0	12.8	9.4	0.9	23.5	39.7	13.8	162.1	4.61
1.000	7.54	2.61	-2.44	28.64	5.00	0.36	0.29	22.72	2.53	-1.32	0.24	0.16					13.8	8.3	1.0	23.0	38.8	15.2	164.7	5.92
1.100	8.19	2.54	-2.33	28.11	4.77	0.36	0.25	22.65	2.52	-1.37	0.18	0.07					14.4	9.2	0.6	24.5	39.7	11.6	162.2	5.45
1.120	8.31	2.51	-2.37					23.01	2.60	-1.15	0.48	0.36												
1.140	8.43	2.85	-2.34	28.34	4.87	0.40	0.28	23.51	2.72	-1.26	0.47	0.35												4.83
1.160	8.55	2.65	-2.36	28.32	4.86	0.37	0.25	21.91	2.36	-1.39	0.01	-0.12												6.41
1.180	8.67	2.69	-2.37	28.71	5.04	0.44	0.31	21.95	2.37	-1.30	0.11	-0.03												6.76
1.200	8.79	2.70	-2.26	29.14	5.38	0.65	0.50	22.24	2.43	-1.32	0.14	0.00	0.0	12.4	3.5	10.9	13.2	9.8	1.0	22.9	37.2	16.0	169.3	6.90
1.220	8.90	2.71	-2.31	28.48	4.93	0.45	0.30	23.47	2.71	-1.15	0.57	0.42												5.00
1.240	9.01			28.69	5.02			23.97	2.84	-1.11	0.71	0.55												4.72
1.260	9.12		-2.16	28.65	5.01	0.64	0.47	23.53	2.73	-1.28	0.46	0.28												5.12
1.280	9.23	2.77	-2.26	28.63	5.00	0.54	0.35	22.68	2.52	-1.04	0.52	0.33												5.95
1.300	9.34	2.86	-2.38	28.56	4.97	0.41	0.21	23.32	2.68	-1.19	0.50	0.30					13.1	10.2	0.9	25.1	37.3	13.4	169.1	5.24
1.320	9.44	2.77	-2.36	29.01	5.17	0.52	0.31	22.99	2.60	-0.90	0.72	0.51												6.03
1.340	9.55		-2.55	29.40	5.36	0.41	0.19	23.11	2.62	-1.05	0.60	0.38												6.29
1.360	9.66	2.75	-2.21	28.90	5.12	0.64	0.41	23.18	2.64	-1.26	0.41	0.17												5.72
1.380	9.77	2.90	-2.17	27.78	4.63	0.45	0.21	24.73	3.04	-0.71	1.27	1.03												3.05
1.380	9.77	2.96																						
1.400	9.88	2.94	-2.37	28.84	5.09	0.47	0.21	22.71	2.53	-0.86	0.70	0.45	1.2	13.7	7.1	8.9	13.6	9.1	1.1	25.6	35.5	15.1	174.7	6.12
1.420	9.98		-2.37	28.93	5.13	0.49	0.22	25.22	3.17	-1.06	1.02	0.76												3.71
1.440	10.09	3.02	-2.06	28.52	4.95	0.71	0.44	23.92	2.82	-0.81	1.01	0.73												4.59
1.460	10.20	2.88	-2.19	27.80	4.64	0.43	0.15	23.12	2.63	-1.12	0.53	0.24												4.69
1.480	10.31	2.89	-2.33	29.94	5.62	0.74	0.45	22.47	2.48	-0.77	0.75	0.45												7.46
1.500	10.41	3.04	-2.16	28.37	4.57	0.59	0.28	24.42	2.95	-0.81	1.11	0.80					13.4	7.3	1.2	27.5	37.1	13.5	169.9	3.95
1.520	10.53	2.96	-2.36	28.50	4.94	0.41	0.09	25.66	3.30	-0.83	1.35	1.03												2.83
1.540	10.66		-2.21	28.96	5.15	0.66	0.32	24.90	3.09															4.06
1.560	10.79	2.98	-2.32	28.63	5.00	0.48	0.12	25.32	3.20	-1.26	0.85	0.50												3.31
1.580	10.92		-2.30	28.24	4.82	0.41	0.04	24.74	3.04	-0.81	1.18	0.81												3.49
1.600	11.05	3.04	-2.05	27.91	4.68	0.60	0.22	24.14	2.88	-0.45	1.41	1.02	1.9	15.6	7.5	16.7	14.0	5.9	0.8	26.2	38.1	15.1	166.6	3.77
1.620	11.18	3.05	-1.74	27.86	4.67	0.89	0.49	24.55	2.99	-0.42	1.53	1.13												3.32
1.640	11.31	3.22		28.62	4.99			23.03	2.61	-0.61	1.02	0.60												5.59
1.660	11.44	3.00	-2.17	28.55	4.96	0.61	0.17	22.40	2.46	-0.28	1.22	0.78												6.15
1.680	11.61	3.11	-1.93	27.75	4.62	0.68	0.22	23.45	2.71	-0.48	1.24	0.78												4.30
1.700	11.78	3.09	-1.96	28.10	4.77	0.73	0.25	23.23	2.65								9.9	7.2	0.9	25.4	41.2	15.3	157.8	4.88
1.720	11.96	3.09	-1.71	28.09	4.76	0.98	0.48	22.56	2.50	-0.57	0.96	0.46												5.53
1.740	12.14	3.06		27.75	4.62			23.60	2.74	-0.58	1.17	0.64												4.15
1.760	12.31	3.56	-1.64	27.60	4.56	0.94	0.39	22.97	2.59	-0.36	1.25	0.71												4.63
1.780	12.49	3.33	-1.57	28.53	4.95	1.21	0.64	23.11	2.63	-0.80	0.85	0.28												5.41
1.800	12.67	3.43	-1.80	27.85	4.66	0.83	0.24	22.63	2.52	-0.58	0.97	0.38	1.2	25.9	5.2	11.3	11.2	6.7	0.7	36.5	29.9	15.0	193.6	5.22
1.820	12.84	3.14	-2.12	27.48	4.51	0.44	-0.17	21.99	2.37	-0.67	0.75	0.14												5.49
1.840	13.03		-1.77	27.30	4.43	0.75	0.11	22.95	2.59	-0.29	1.32	0.69												4.35
1.860	13.22	3.31	-1.88	29.03	5.18	1.01	0.35	22.66	2.52	-0.48	1.07	0.41												6.37
1.880	13.41	3.36	-2.19	27.41	4.48	0.36	-0.32	22.31	2.44	-0.36	1.12	0.44												5.10
1.900	13.60	3.53	-1.77	28.21	4.81	0.94	0.24	22.29	2.44	-0.33	1.15	0.45	0.7	29.0	8.2	10.2	8.9	6.3	0.8	31.7	36.3	16.2	172.2	5.92
1.920	13.79	3.42	-1.72	28.48	4.93	1.05	0.33	23.64	2.75	-0.57	1.19	0.46												4.84
1.940	13.98	3.40	-1.68	27.91	4.68	0.97	0.23																	
1.960	14.16	3.27	-1.93	28.44	4.91	0.83	0.07																	
1.980	14.34	3.59	-1.71	27.64	4.57	0.89	0.11																	
2.000	14.49	3.49	-1.75	28.17	4.80	0.96	0.16	21.57	2.29	-0.34	1.24	0.45	0.8	7.9	7.4	6.3	10.4	5.6	0.7	29.9	36.8	16.5	170.5	6.61
2.100	15.20	3.54	-1.70	27.86	4.66	0.94	0.07	21.97	2.37	-0.16	1.25	0.38	3.1	26.0	9.2	15.1	10.4	5.7	0.8	28.6	38.6	15.9	165.3	5.89
2.200	15.76	3.71	-1.57	26.77	4.23	0.84	-0.07	22.79	2.55	0.09	1.67	0.77	1.5	18.0	9.8	15.0	7.5	5.5	0.9	34.1	33.7	18.3	180.4	3.98
2.230	15.91		-1.42	26.89	4.28	1.02	0.11																	
2.250	16.01	3.77	-1.40	26.58	4.16	0.97	0.05																	
2.270	16.11	4.21	-1.46	27.03	4.33	1.00	0.08																	
2.290	16.21	3.98	-1.47	27.19	4.39	1.03	0.10																	
