Core	Depth (cm)	Age(ka)	d18O	Uk'37	SST
LAPAZ21P	0.025	1.39583333	2.18	0.889	25
LAPAZ21P	0.065	2.02916667	2.14	0.9	25.3
LAPAZ21P	0.115	2.82083333	2.26	0.895	25.2
LAPAZ21P	0.165	3.6125	2.35	0.887	24.9
LAPAZ21P	0.215	4.40416667	2.23	0.895	25.2
LAPAZ21P	0.265	5.19583333	2.2	0.898	25.3
LAPAZ21P	0.315	5.9875	2.27	0.879	24.7
LAPAZ21P	0.365	6.77916667	3.03	0.885	24.9
LAPAZ21P	0.415	7.57083333	2.35	0.892	25.1
LAPAZ21P	0.465	8.3625	2.39	0.881	24.8
LAPAZ21P	0.515	9.15416667	-999	0.886	24.9
LAPAZ21P	0.565	9.94583333	2.52	0.886	24.9
LAPAZ21P	0.615	10.89375	2.44	0.88	24.7
LAPAZ21P	0.665	12.20625	3.15	0.824	23.1
LAPAZ21P	0.715	13.51875	3.22	0.798	22.3
LAPAZ21P	0.765	14.83125	3.54	0.774	21.6
LAPAZ21P	0.815	16.14375	3.72	0.788	22
LAPAZ21P	0.865	17.45625	3.65	0.79	22.1
LAPAZ21P	0.915	18.76875	3.69	0.775	21.6
LAPAZ21P	0.965	20.08125	3.59	0.785	21.9
LAPAZ21P	1.015	21.49180328	3.722	0.792	22.2
LAPAZ21P	1.065	23.13114754	3.51	0.783	21.9
LAPAZ21P	1.115	24.7704918	3.58	0.791	22.1
LAPAZ21P	1.165	26.40983607	3.55	0.782	21.9
LAPAZ21P	1.215	28.04918033	3.46	0.816	22.8
LAPAZ21P	1.265	29.68852459	3.36	0.825	23.1
LAPAZ21P	1.315	31.32786885	3.32	0.811	22.7
LAPAZ21P	1.365	32.96721311	3.25	0.82	23
LAPAZ21P	1.415	34.60655738	3.29	0.824	23.1
LAPAZ21P	1.465	36.24590164	3.2	0.806	22.5
LAPAZ21P	1.515	37.8852459	3.31	0.817	22.9
LAPAZ21P	1.565	39.52459016	3.32	0.807	22.6
LAPAZ21P	1.615	41.16393443	3.39	0.831	23.3
LAPAZ21P	1.665	42.80327869	3.39	0.86	24.1
LAPAZ21P	1.715	44.44262295	3.22	0.852	23.9
LAPAZ21P	1.765	46.08196721	3.28	0.843	23.7
LAPAZ21P	1.795	47.06557377	3.32	-999	-999
LAPAZ21P	1.815	47.72131148	3.1	0.826	23.1
LAPAZ21P	1.865	49.36065574	-999	0.824	23.1
LAPAZ21P	1.915	51	3.18	0.796	22.2
LAPAZ21P	1.965	52.63934426	-999	0.802	22.4
LAPAZ21P	2.015	54.27868852	3.32	0.831	23.3
LAPAZ21P	2.065	55.91803279	-999	0.807	22.6
LAPAZ21P	2.115	57.55737705	3.18	0.796	22.3
LAPAZ21P	2.165	59.19672131	-999	0.807	22.6
LAPAZ21P	2.215	60.83606557	3.43	0.817	22.9
LAPAZ21P	2.265	63.75	-999	0.841	23.6
LAPAZ21P	2.315	66.80555556	3.32	0.819	22.9
LAPAZ21P	2.365	69.86111111	-999	0.824	23.1
LAPAZ21P	2.415	72.91666667	3.16	0.816	22.9
LAPAZ21P	2.465	75.97222222	-999	0.853	23.9
LAPAZ21P	2.515	79.02777778	3.13	0.861	24.2
LAPAZ21P	2.565	82.08333333	-999	0.849	23.8
LAPAZ21P	2.615	84.18867925	2.62	0.85	23.9
LAPAZ21P	2.665	85.88679245	-999	0.856	24
LAPAZ21P	2.715	87.58490566	2.9	0.855	24
LAPAZ21P	2.765	89.28301887	-999	0.875	24.6
LAPAZ21P	2.815	90.98113208	2.78	0.871	24.5
LAPAZ21P	2.865	92.67924528	-999	0.879	24.7
LAPAZ21P	2.915	94.37735849	2.75	0.886	24.9
LAPAZ21P	2.965	96.0754717	-999	0.894	25.1
LAPAZ21P	3.015	97.77358491	2.61	0.898	25.3
LAPAZ21P	3.065	99.47169811	-999	0.905	25.5
LAPAZ21P	3.115	101.1092233	2.43	0.872	24.5
LAPAZ21P	3.165	102.2014563	-999	0.889	25
LAPAZ21P	3.215	103.2936893	2.97	0.901	25.4
LAPAZ21P	3.265	104.3859223	-999	0.924	26
LAPAZ21P	3.315	105.4781553	2.92	0.896	25.2
LAPAZ21P	3.365	106.5703884	-999	0.892	25.1
LAPAZ21P	3.415	107.6626214	2.32	0.875	24.6
LAPAZ21P	3.465	108.7548544	-999	0.877	24.6
LAPAZ21P	3.515	109.8470874	2.95	0.869	24.4
LAPAZ21P	3.565	110.9393204	-999	0.889	25
LAPAZ21P	3.615	112.0315534	2.5	0.874	24.6
LAPAZ21P	3.665	113.1237864	-999	0.882	24.8
LAPAZ21P	3.715	114.2160194	2.28	0.895	25.2
LAPAZ21P	3.765	115.3082524	-999	0.89	25.1
LAPAZ21P	3.765	115.3082524	-999	0.937	26.4
LAPAZ21P	3.815	116.4004854	2.58	0.908	25.6
LAPAZ21P	3.865	117.4927185	-999	0.924	26
LAPAZ21P	3.915	118.5849515	2.44	0.926	26.1
LAPAZ21P	3.965	119.6771845	-999	0.942	26.6
LAPAZ21P	4.015	120.7694175	2.32	0.932	26.3
LAPAZ21P	4.065	121.8616505	-999	0.937	26.4
LAPAZ21P	4.115	122.9538835	2.16	0.949	26.8
LAPAZ21P	4.165	124.0241936	-999	0.95	26.8
LAPAZ21P	4.215	125.0725807	2.13	0.949	26.8
LAPAZ21P	4.265	126.1209677	-999	0.955	27
LAPAZ21P	4.315	127.1693548	2.59	0.954	26.9
LAPAZ21P	4.365	128.2177419	-999	0.948	26.7
LAPAZ21P	4.415	129.266129	3	0.894	25.1
LAPAZ21P	4.465	130.3145161	-999	0.885	24.9
LAPAZ21P	4.515	131.3629032	3.4	0.893	25.1
LAPAZ21P	4.565	132.4112903	-999	0.896	25.2
LAPAZ21P	4.615	133.4596774	3.4	0.885	24.9
LAPAZ21P	4.665	134.5080645	-999	0.844	23.7
LAPAZ21P	4.705	135.3467742	3.48	-999	-999
LAPAZ21P	4.765	136.6337209	-999	0.839	23.5
LAPAZ21P	4.765	136.6337209	-999	0.842	23.6
LAPAZ21P	4.815	137.9709302	3.58	0.834	23.4
LAPAZ21P	4.865	139.3081395	-999	0.863	24.2
LAPAZ21P	4.915	140.6453488	3.59	0.836	23.4
LAPAZ21P	4.965	141.9825581	-999	0.833	23.4
LAPAZ21P	5.015	143.3197674	3.6	0.84	23.6
LAPAZ21P	5.065	144.6569767	-999	0.853	23.9
LAPAZ21P	5.115	145.9941861	3.55	0.85	23.8
LAPAZ21P	5.165	147.3313954	-999	0.824	23.1
LAPAZ21P	5.215	148.5898876	3.53	0.846	23.7
