# NOAA Paleoclimatology Program - Paleocean Site Data
# tr163-19-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      TR163-19
# Latitude:       2.15.18N	( 2.255)
# Longitude:      90.57.04W	( -90.95111)
# Water Depth(m): 2348
#
# Publications:
#   Lea, D.W., D.K. Pak, and H.J. Spero. 2000. Climate impact of late Quaternary
#     equatorial Pacific sea surface temperature variations. Science
#     289(5485):1719-1724.
#------------------
#
# Description & Notes:
#   Equatorial Pacific sea surface temperatures during the late Quaternary.
#   Data precision: O18, ±0.06; Mg/Ca, ±2.1%; SST (est.), ±0.6°C; O18w (est.), ±0.18
#   Mg/Ca data on cleaned G. ruber shells by ICP-MS, SST estimates based on calibration
#   in Lea et al., 2000, O18w calculated from O18ruber measurements, Mg/Ca-temperature
#   estimates and Orbulina low light paleotemperature equations
#   (Bemis et al., 1998).
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.rub     delta O18 PDB (Globigerinoides ruber)
#             d18Osmow      delta O18 SMOW
#             Mg/Ca         Magnesium/Calcium ratio
#             sst           Sea Surface Temperature (C)
#
# CORE: TR163-19
depth	yrBP 	d18Og.rub	d18Osmow	Mg/Ca	sst	
1	1000	-2.07	0.13	3	25.8	
4	1900	-2.27	-0.18	2.86	25.2	
9	3200	-2.3	0	3.12	26.2	
14	4600	-2.11	0.11	3.02	25.8	
19	6000	-2.41	-0.16	3.06	26	
24	7200	-2.1	0.18	3.1	26.1	
29	8400	-2.1	0.34	3.33	26.9	
34	9500	-1.78	0.41	2.99	25.7	
39	10700	-1.81	0.27	2.85	25.2	
44	11900	-1.01	1.09	2.88	25.3	
49	13100	-1.12	0.91	2.78	24.9	
54	14300	-1.22	0.77	2.75	24.8	
59	15500	-0.72	1.17	2.63	24.3	
64	16600	-0.51	1.37	2.61	24.2	
69	17800	-0.69	0.9	2.31	22.8	
74	19000	-0.37	1.26	2.36	23.1	
79	20100	-0.71	1.03	2.47	23.6	
84	21300	-0.78	0.8	2.3	22.8	
89	22400	-0.79	0.93	2.45	23.5	
94	23500	-0.95	0.75	2.42	23.4	
99	24600	-0.81	0.91	2.44	23.5	
104	25800	-1.04	0.45	2.22	22.4	
109	26900	-0.77	0.92	2.41	23.3	
114	28000	-1.23	0.34	2.29	22.7	
119	29100	-0.93	0.6	2.25	22.6	
124	30200	-1.05	0.6	2.36	23.1	
129	31300	-0.86	1.08	2.68	24.5	
134	32300	-0.66	1.24	2.63	24.3	
139	33400	-1.14	0.6	2.47	23.6	
144	34500	-0.94	0.9	2.58	24.1	
149	35600	-1.15	0.6	2.47	23.6	
