/* DATA DESCRIPTION:
Citation:	Kudrass, H-R et al. (2001): Stable oxygen isotope ratios measured on Globigerinoides ruber from sediment core SO93-126KL. doi:10.1594/PANGAEA.58759, 
	In Supplement to: Kudrass, Hermann-Rudolph; Hofmann, Annette; Doose, Heidi; Emeis, Kay-Christian; Erlenkeuser, Helmut (2001): Modulation and amplification of climatic changes in the Northern Hemisphere by the Indian summer monsoon during the past 80 k.y. Geology, 29(1), 63-66, doi:10.1130/0091-7613(2001)029<0063:MAAOCC>2.0.CO;2
Coverage:	LATITUDE: 19.973333 * LONGITUDE: 90.033333
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 100.263 ka BP
	DATE/TIME START: 1994-01-15T00:00:00 * DATE/TIME END: 1994-01-15T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 8.7 m
Event(s):	SO93-126KL * LATITUDE: 19.973333 * LONGITUDE: 90.033333 * DATE/TIME: 1994-01-15T00:00:00 * ELEVATION: -1250.0 m * LOCATION: Bengal Fan * CAMPAIGN: SO93 (BENGAL FÄCHER) * BASIS: Sonne (URI: http://www.bgr.de/fs_sonne/) * DEVICE: Piston corer (BGR type) (KL) * COMMENT: continental slope, upslope thickening
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Globigerinoides ruber white, d18O [per mil PDB] (G. ruber w d18O) * PI: Hofmann, Annette (eMail: Annette.Hofmann@multibrid.com) * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	875 data points
*/
Depth [m]	Age [ka BP]	G. ruber w d18O [per mil PDB]
0.00	0.000	-2.70
0.01	0.192	-2.70
0.02	0.418	-2.96
0.03	0.643	-3.22
0.04	0.869	-3.16
0.05	1.095	-3.10
0.06	1.321	-3.05
0.07	1.547	-3.00
0.08	1.772	-3.04
0.09	1.998	-3.07
0.10	2.224	-3.19
0.11	2.287	-3.30
0.12	2.349	-3.31
0.13	2.412	-3.32
0.14	2.475	-3.35
0.15	2.537	-3.38
0.16	2.600	-3.39
0.17	2.663	-3.40
0.18	2.725	-3.31
0.19	2.788	-3.21
0.20	2.937	-3.26
0.21	3.087	-3.31
0.22	3.236	-3.32
0.23	3.386	-3.33
0.24	3.535	-3.43
0.25	3.684	-3.52
0.26	3.834	-3.55
0.27	3.983	-3.57
0.28	4.133	-3.61
0.29	4.282	-3.65
0.30	4.431	-3.57
0.31	4.581	-3.48
0.32	4.730	-3.48
0.33	4.880	-3.48
0.34	5.029	-3.54
0.35	5.098	-3.60
0.36	5.168	-3.65
0.37	5.237	-3.69
0.38	5.306	-3.72
0.39	5.375	-3.75
0.40	5.445	-3.73
0.41	5.514	-3.71
0.42	5.583	-3.74
0.43	5.653	-3.77
0.44	5.722	-3.73
0.45	5.791	-3.69
0.46	5.860	-3.65
0.47	5.930	-3.60
0.48	5.999	-3.60
0.49	6.166	-3.61
0.50	6.333	-3.58
0.51	6.501	-3.54
0.52	6.668	-3.64
0.53	6.835	-3.73
0.54	7.002	-3.52
0.55	7.170	-3.31
0.56	7.337	-3.22
0.57	7.504	-3.13
0.58	7.575	-3.35
0.59	7.646	-3.56
0.60	7.717	-3.35
0.61	7.788	-3.13
0.62	7.860	-3.29
0.63	7.931	-3.45
0.64	8.002	-3.38
0.65	8.073	-3.30
0.66	8.144	-3.24
0.67	8.215	-3.17
0.68	8.379	-3.33
0.69	8.544	-3.49
0.70	8.708	-3.47
0.71	8.873	-3.45
0.72	9.037	-3.40
0.73	9.202	-3.35
0.74	9.366	-3.30
0.75	9.531	-3.25
0.76	9.695	-3.34
0.77	9.859	-3.43
0.78	10.024	-3.22
0.79	10.188	-3.01
0.80	10.353	-3.10
0.81	10.517	-3.18
0.82	10.682	-3.36
0.83	10.846	-3.53
0.84	11.011	-3.16
0.85	11.175	-2.78
0.86	11.235	-2.85
0.87	11.294	-2.91
0.88	11.354	-2.87
0.89	11.414	-2.83
0.90	11.473	-2.53
0.91	11.533	-2.22
0.92	11.592	-2.20
0.93	11.652	-2.17
0.94	11.886	-2.10
0.95	12.121	-2.02
0.96	12.356	-1.95
0.97	12.590	-1.87
0.98	12.762	-2.15
0.99	12.935	-2.42
1.00	13.152	-2.29
1.01	13.369	-2.15
1.02	13.586	-2.29
1.03	13.803	-2.43
1.04	13.891	-2.33
1.05	13.979	-2.23
1.06	14.067	-2.21
1.07	14.155	-2.19
1.08	14.243	-2.47
1.09	14.331	-2.74
1.10	14.412	-2.53
1.11	14.494	-2.32
1.12	14.502	-2.19
1.13	14.509	-2.06
1.14	14.516	-2.05
1.15	14.524	-2.04
1.16	14.531	-2.02
1.17	14.539	-2.01
1.18	14.546	-1.79
1.19	14.554	-1.56
1.20	14.561	-1.80
1.21	14.569	-2.04
1.22	14.576	-1.83
1.23	14.584	-1.61
1.24	14.591	-1.71
1.25	14.598	-1.80
1.26	14.606	-1.86
1.27	14.613	-1.93
1.28	14.621	-1.99
1.29	14.628	-2.04
1.30	14.636	-1.88
1.31	14.643	-1.71
1.32	14.651	-1.75
1.33	14.658	-1.79
1.34	14.666	-1.47
1.35	14.673	-1.15
1.36	14.781	-1.22
1.37	14.888	-1.29
1.38	14.996	-1.33
1.39	15.104	-1.36
1.40	15.244	-1.34
1.41	15.383	-1.31
1.42	15.522	-1.09
1.43	15.662	-0.87
1.44	15.828	-1.06
1.45	15.995	-1.25
1.46	16.038	-1.12
1.47	16.082	-0.98
1.48	16.125	-1.08
1.49	16.168	-1.17
1.50	16.212	-1.21
1.51	16.255	-1.24
1.52	16.298	-1.01
1.53	16.342	-0.77
1.54	16.385	-1.01
1.55	16.428	-1.25
1.56	16.472	-1.08
1.57	16.515	-0.91
1.58	16.558	-0.86
1.59	16.602	-0.81
1.60	16.645	-0.89
