/* DATA DESCRIPTION:
Citation:	Kudrass, H-R et al. (2001): Volume susceptibility of sediment core SO93-126KL. Dataset #58760 (DOI registration in progress), 
	In Supplement to: Kudrass, Hermann-Rudolph; Hofmann, Annette; Doose, Heidi; Emeis, Kay-Christian; Erlenkeuser, Helmut (2001): Modulation and amplification of climatic changes in the Northern Hemisphere by the Indian summer monsoon during the past 80 k.y. Geology, 29(1), 63-66, doi:10.1130/0091-7613(2001)029<0063:MAAOCC>2.0.CO;2
Coverage:	LATITUDE: 19.973333 * LONGITUDE: 90.033333
	MINIMUM AGE: 13.152 ka BP * MAXIMUM AGE: 101.408 ka BP
	DATE/TIME START: 1994-01-15T00:00:00 * DATE/TIME END: 1994-01-15T00:00:00
	MINIMUM DEPTH, sediment/rock: 1.0 m * MAXIMUM DEPTH, sediment/rock: 8.8 m
Event(s):	SO93-126KL * LATITUDE: 19.973333 * LONGITUDE: 90.033333 * DATE/TIME: 1994-01-15T00:00:00 * ELEVATION: -1250.0 m * LOCATION: Bengal Fan * CAMPAIGN: SO93 (BENGAL FÄCHER) * BASIS: Sonne (URI: http://www.bgr.de/fs_sonne/) * DEVICE: Piston corer (BGR type) (KL) * COMMENT: continental slope, upslope thickening
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Susceptibility, volume [10**-6 SI] (kappa) * PI: Hofmann, Annette (eMail: Annette.Hofmann@multibrid.com) * METHOD: Bartington MS2C coil sensor
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	778 data points
*/
Depth [m]	Age [ka BP]	kappa [10**-6 SI]
1.00	13.152	240
1.01	13.369	255
1.02	13.586	240
1.03	13.803	255
1.04	13.891	255
1.05	13.979	240
1.06	14.067	255
1.07	14.155	240
1.08	14.243	255
1.09	14.331	240
1.10	14.412	225
1.11	14.494	225
1.12	14.502	240
1.13	14.509	225
1.14	14.516	210
1.15	14.524	255
1.16	14.531	225
1.17	14.539	225
1.18	14.546	240
1.19	14.554	270
1.20	14.561	270
1.21	14.569	315
1.22	14.576	315
1.23	14.584	300
1.24	14.591	255
1.25	14.598	255
1.26	14.606	240
1.27	14.613	250
1.28	14.621	270
1.29	14.628	285
1.30	14.636	300
1.31	14.643	315
1.32	14.651	330
1.33	14.658	285
1.34	14.666	330
1.35	14.673	330
1.36	14.781	345
1.37	14.888	375
1.38	14.996	405
1.39	15.104	375
1.40	15.244	420
1.41	15.383	405
1.42	15.522	420
1.43	15.662	435
1.44	15.828	375
1.45	15.995	420
1.46	16.038	405
1.47	16.082	465
1.48	16.125	450
1.49	16.168	465
1.50	16.212	465
1.51	16.255	465
1.52	16.298	435
1.53	16.342	480
1.54	16.385	450
1.55	16.428	480
1.56	16.472	510
1.57	16.515	450
1.58	16.558	525
1.59	16.602	435
1.60	16.645	405
1.61	16.688	480
1.62	16.732	480
1.63	16.775	525
1.64	16.804	540
1.65	16.832	525
1.66	16.861	585
1.67	16.889	660
1.68	16.918	495
1.69	16.946	495
1.70	16.975	510
1.71	17.003	510
1.72	17.032	515
1.73	17.060	525
1.74	17.089	530
1.75	17.230	560
1.76	17.372	585
1.77	17.513	540
1.78	17.654	545
1.79	17.795	555
1.80	17.937	540
1.81	18.078	545
1.82	18.260	535
1.83	18.443	520
1.84	18.625	435
1.85	18.807	435
1.86	18.990	445
1.87	19.172	435
1.88	19.348	405
1.89	19.525	510
1.90	19.701	450
1.91	19.878	450
1.92	20.054	510
1.93	20.230	435
1.94	20.407	450
1.95	20.583	450
1.96	20.686	525
1.97	20.790	480
1.98	20.893	510
1.99	20.997	525
2.00	21.100	540
2.01	21.204	525
2.02	21.307	555
2.03	21.488	600
2.04	21.670	630
2.05	21.851	585
2.06	22.033	600
2.07	22.214	495
2.08	22.350	525
2.09	22.486	465
2.10	22.622	435
2.11	22.758	420
2.12	22.895	435
2.13	23.031	435
2.14	23.167	450
2.15	23.303	450
2.16	23.442	450
2.17	23.582	465
2.18	23.721	465
2.19	23.861	480
2.20	24.000	495
2.21	24.067	495
2.22	24.133	435
2.23	24.200	450
2.24	24.266	450
2.25	24.333	480
2.26	24.400	420
2.27	24.466	420
2.28	24.533	450
2.29	24.599	450
2.30	24.666	480
2.31	24.733	420
2.32	24.799	375
2.33	24.866	360
2.34	24.932	360
2.35	24.999	375
2.36	25.104	360
2.37	25.209	345
2.38	25.315	390
2.39	25.420	390
2.40	25.525	375
2.41	25.659	345
2.42	25.793	345
2.43	25.886	375
2.44	25.979	345
2.45	26.072	360
2.46	26.179	360
2.47	26.287	330
2.48	26.394	360
2.49	26.502	360
2.50	26.609	360
2.51	26.719	345
2.52	26.830	345
2.53	26.940	360
2.54	27.050	375
2.55	27.160	390
2.56	27.271	390
2.57	27.381	390
2.58	27.452	375
2.59	27.523	375
2.60	27.594	360
2.61	27.665	390
2.62	27.736	360
2.63	27.846	345
2.64	27.956	360
2.65	28.067	330
2.66	28.177	330
2.67	28.287	300
2.68	28.369	285
2.69	28.450	270
2.70	28.532	315
2.71	28.614	315
2.72	28.696	315
2.73	28.778	285
2.74	28.859	330
2.75	28.941	330
2.76	29.062	360
2.77	29.184	345
2.78	29.305	360
2.79	29.427	375
2.80	29.548	380
2.81	29.890	350
2.82	30.233	330
2.83	30.374	345
2.84	30.515	375
2.85	30.656	375
2.86	30.797	360
2.87	30.938	360
2.88	31.079	345
2.89	31.220	345
2.90	31.361	375
2.91	31.502	315
2.92	31.643	315
2.93	31.844	285
2.94	32.044	285
2.95	32.245	345
2.96	32.366	315
2.97	32.487	315
2.98	32.608	330
2.99	32.729	285
3.00	32.850	375
3.01	32.971	315
3.02	33.092	300
3.03	33.213	300
3.04	33.334	315
3.05	33.455	345
3.06	33.624	345
3.07	33.793	345
3.08	33.963	360
3.09	34.132	300
3.10	34.301	300
3.11	34.470	285
3.12	34.639	285
3.13	34.809	255
3.14	34.978	285
3.15	35.147	255
3.16	35.426	270
3.17	35.706	255
3.18	35.929	240
3.19	36.153	225
3.20	36.376	255
3.21	36.570	255
3.22	36.765	240
3.23	36.959	240
3.24	37.154	255
3.25	37.348	255
3.26	37.542	225
3.27	37.737	255
3.28	37.931	255
3.29	38.126	240
3.30	38.320	270
3.31	38.344	270
3.32	38.369	255
3.33	38.394	270
3.34	38.418	270
3.35	38.442	285
3.36	38.467	270
3.37	38.492	345
3.38	38.516	330
3.39	38.540	315
3.40	38.565	345
3.41	38.887	285
3.42	39.208	390
3.43	39.530	435
3.44	39.852	360
3.45	39.887	345
3.46	39.922	405
3.47	39.958	285
3.48	39.993	330
3.49	40.028	285
3.50	40.064	300
3.51	40.099	300
3.52	40.134	345
3.53	40.188	285
3.54	40.241	270
3.55	40.294	270
3.56	40.348	270
3.57	40.402	300
3.58	40.455	270
3.59	40.508	285
3.60	40.562	270
3.61	40.650	285
3.62	40.738	300
3.63	40.826	285
3.64	40.915	285
3.65	41.003	315
3.66	41.091	315
3.67	41.192	315
3.68	41.294	330
3.69	41.396	330
3.70	41.497	345
3.71	41.625	285
3.72	41.753	300
3.73	41.881	270
3.74	42.009	270
3.75	42.137	210
3.76	42.265	225
3.77	42.393	225
3.78	42.500	225
3.79	42.606	255
3.80	42.713	300
3.81	42.831	315
3.82	42.950	345
3.83	43.068	345
3.84	43.187	345
3.85	43.305	345
3.86	43.421	330
3.87	43.538	300
3.88	43.654	255
3.89	43.770	240
3.90	43.887	240
3.91	44.003	225
3.92	44.120	255
3.93	44.236	255
3.94	44.352	240
3.95	44.468	255
3.96	44.585	255
3.97	44.701	240
3.98	44.818	270
3.99	44.934	240
4.00	45.050	240
4.01	45.167	240
4.02	45.283	240
4.03	45.310	255
4.04	45.338	270
4.05	45.365	300
4.06	45.393	270
4.07	45.420	315
4.08	45.448	345
4.09	45.475	345
4.10	45.503	360
4.11	45.530	375
4.12	45.558	390
4.13	45.585	390
4.14	45.655	375
4.15	45.725	390
4.16	45.794	420
4.17	45.864	450
4.18	45.934	420
4.19	46.004	495
4.20	46.074	525
4.21	46.143	480
4.22	46.213	345
4.23	46.283	330
4.24	46.353	270
4.25	46.422	285
4.26	46.492	270
4.27	46.562	285
4.28	46.632	285
4.29	46.702	240
4.30	46.771	255
4.31	46.841	255
4.32	46.911	240
4.33	46.953	285
4.34	46.994	300
4.35	47.036	285
4.36	47.078	255
4.37	47.120	255
4.38	47.162	225
4.39	47.203	255
4.40	47.245	225
4.41	47.609	255
4.42	47.972	210
4.43	48.336	240
4.44	48.699	225
4.45	49.063	255
4.46	49.426	195
4.47	49.790	195
4.48	50.154	210
4.49	50.517	225
4.50	50.881	180
4.51	51.244	210
4.52	51.608	195
4.53	51.918	210
4.54	52.228	195
4.55	52.538	225
4.56	52.639	210
4.57	52.740	165
4.58	52.891	210
4.59	53.043	210
4.60	53.194	210
4.61	53.346	210
4.62	53.497	195
4.63	53.559	225
4.64	53.621	255
4.65	53.682	240
4.66	53.744	270
4.67	53.806	270
4.68	53.868	255
4.69	53.930	285
4.70	53.991	270
4.71	54.053	225
4.72	54.296	270
4.73	54.539	270
4.74	54.781	270
4.75	55.024	255
4.76	55.267	240
4.77	55.510	225
4.78	55.752	210
4.79	55.995	225
4.80	56.238	240
4.81	56.367	255
4.82	56.496	255
4.83	56.626	270
4.84	56.755	300
4.85	56.884	300
4.86	57.015	285
4.87	57.146	270
4.88	57.277	270
4.89	57.408	270
4.90	57.539	300
4.91	57.581	330
4.92	57.623	330
4.93	57.665	360
4.94	57.707	345
4.95	57.749	360
4.96	57.791	330
4.97	57.833	360
4.98	57.875	345
4.99	57.917	330
5.00	57.959	360
5.01	58.001	345
5.02	58.043	345
5.03	58.085	360
5.04	58.127	345
5.05	58.169	360
5.06	58.211	405
5.07	58.253	390
5.08	58.295	390
5.09	58.337	405
5.10	58.379	420
5.11	58.421	420
5.12	58.463	405
5.13	58.505	435
5.14	58.547	405
5.15	58.589	420
5.16	58.631	390
5.17	58.673	390
5.18	58.715	375
5.19	58.757	390
5.20	58.799	390
5.21	58.841	420
5.22	58.883	420
5.23	58.925	390
5.24	58.967	405
5.25	59.009	405
5.26	59.051	435
5.27	59.093	420
5.28	59.135	420
5.29	59.177	420
5.30	59.219	435
5.31	59.306	435
5.32	59.393	405
5.33	59.480	420
5.34	59.567	420
5.35	59.654	420
5.36	59.741	405
5.37	59.828	405
5.38	59.915	420
5.39	60.002	405
5.40	60.089	390
5.41	60.176	405
5.42	60.263	405
5.43	60.350	405
5.44	60.437	375
5.45	60.524	390
5.46	60.620	390
5.47	60.716	375
5.48	60.812	390
5.49	60.909	375
5.50	61.005	375
5.51	61.101	360
5.52	61.197	375
5.53	61.293	360
5.54	61.389	345
5.55	61.485	345
5.56	61.582	375
5.57	61.678	345
5.58	61.774	360
5.59	61.870	360
5.60	61.916	375
5.61	61.962	375
5.62	62.008	390
5.63	62.054	390
5.64	62.100	375
5.65	62.146	390
5.66	62.192	405
5.67	62.238	390
5.68	62.284	375
5.69	62.330	330
5.70	62.376	390
5.71	62.422	390
5.72	62.468	375
5.73	62.514	375
5.74	62.560	390
5.75	62.606	290
5.76	62.652	300
5.77	62.698	280
5.78	62.744	270
5.79	62.790	315
5.80	62.836	400
5.81	62.882	410
5.82	62.928	420
5.83	62.974	420
5.84	63.020	420
5.85	63.066	435
5.86	63.102	390
5.87	63.139	405
5.88	63.175	390
5.89	63.211	405
5.90	63.248	405
5.91	63.284	375
5.92	63.320	360
5.93	63.357	405
5.94	63.393	375
5.95	63.430	375
5.96	63.466	360
5.97	63.502	360
5.98	63.539	375
5.99	63.575	375
6.00	63.611	405
6.01	63.648	405
6.02	63.684	375
6.03	63.720	390
6.04	63.757	360
6.05	63.793	360
6.06	63.829	390
6.07	63.866	405
6.08	63.902	405
6.09	63.938	405
6.10	63.975	390
6.11	64.011	390
6.12	64.048	390
6.13	64.084	375
6.14	64.120	405
6.15	64.156	405
6.16	64.193	405
6.17	64.229	405
6.18	64.266	360
6.19	64.302	375
6.20	64.338	360
6.21	64.375	375
6.22	64.411	360
6.23	64.632	390
6.24	64.853	375
6.25	65.074	435
6.26	65.294	435
6.27	65.515	450
6.28	65.736	450
6.29	65.808	450
6.30	65.879	390
6.31	65.950	405
6.32	66.022	420
6.33	66.208	405
6.34	66.394	360
6.35	66.579	360
6.36	66.765	375
6.37	66.951	360
6.38	67.137	330
6.39	67.322	300
6.40	67.508	300
