/* DATA DESCRIPTION:
Citation:	Xu, J et al. (2008): (Appendix A) Oxygen isotopes, Mg/Ca ratios and estimated temperatures of sediment core MD01-2378 during Termination I. doi:10.1594/PANGAEA.831197, 
	In Supplement to: Xu, Jian; Holbourn, Ann; Kuhnt, Wolfgang; Jian, Zhimin; Kawamura, Hiroshi (2008): Changes in the thermocline structure of the Indonesian outflow during Terminations I and II. Earth and Planetary Science Letters, 273(1-2), 152-162, doi:10.1016/j.epsl.2008.06.029
Coverage:	LATITUDE: -13.082500 * LONGITUDE: 121.788000
	DATE/TIME START: 2001-05-03T21:05:00 * DATE/TIME END: 2001-05-03T21:05:00
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 4.4 m
Event(s):	MD01-2378 (MD012378) * LATITUDE: -13.082500 * LONGITUDE: 121.788000 * DATE/TIME: 2001-05-03T21:05:00 * ELEVATION: -1783.0 m * Recovery: 40.73 m * LOCATION: Timor Sea * CAMPAIGN: MD122 (IMAGES VII - WEPAMA) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Giant piston corer (GPC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth)
	AGE [ka BP] (Age)
	Globigerinoides ruber white, d18O [per mil PDB] (G. ruber w d18O) * PI: Xu, Jian (eMail: jx@gpi.uni-kiel.de) * METHOD: Mass spectrometer Finnigan MAT 252 * COMMENT: size fraction 250-315 µm
	Pulleniatina obliquiloculata, d18O [per mil PDB] (P. obliqu. d18O) * PI: Xu, Jian (eMail: jx@gpi.uni-kiel.de) * METHOD: Mass spectrometer Finnigan MAT 252 * COMMENT: size fraction 250-315 µm
	Globigerinoides ruber white, Magnesium/Calcium ratio [mmol/mol] (G. ruber w Mg/Ca) * PI: Xu, Jian (eMail: jx@gpi.uni-kiel.de) * METHOD: ICP-OES, Inductively coupled plasma - optical emission spectrometry
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Xu, Jian (eMail: jx@gpi.uni-kiel.de) * METHOD: Calculated from Mg/Ca
	Pulleniatina obliquiloculata, Magnesium/Calcium ratio [mmol/mol] (P. obliqu. Mg/Ca) * PI: Xu, Jian (eMail: jx@gpi.uni-kiel.de) * METHOD: ICP-OES, Inductively coupled plasma - optical emission spectrometry
	Thermocline temperature [°C] (TT) * PI: Xu, Jian (eMail: jx@gpi.uni-kiel.de) * METHOD: Calculated from Mg/Ca
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	1103 data points
*/
Depth [m]	Age [ka BP]	G. ruber w d18O [per mil PDB]	P. obliqu. d18O [per mil PDB]	G. ruber w Mg/Ca [mmol/mol]	SST (1-12) [°C]	P. obliqu. Mg/Ca [mmol/mol]	TT [°C]
0.005	0.73	-2.56	-1.43	4.99	28.60	2.20	21.13
0.025	0.83	-2.54	-1.31			2.24	21.35
0.045	0.93	-2.69	-1.47	4.50	27.47	2.34	21.81
0.065	1.03	-2.63	-1.66				
0.085	1.13	-2.59	-1.60	4.67	27.86	2.46	22.40
0.105	1.24	-2.64	-1.58	4.99	28.62	2.06	20.40
0.125	1.34	-2.60	-1.53	4.60	27.71	2.33	21.77
0.145	1.44	-2.41	-1.55	4.56	27.60	2.55	22.77
0.165	1.54	-2.86	-1.64				
0.185	1.64	-2.50	-1.60				
0.205	1.74	-2.56	-1.30	5.07	28.80	2.19	21.08
0.225	1.84	-2.67	-1.49	4.32	27.00	2.52	22.66
0.245	1.94	-2.65	-1.57	4.27	26.89	2.43	22.27
0.265	2.04	-3.02	-1.66				
0.285	2.14	-2.65	-1.54	4.54	27.55	2.38	22.04
0.305	2.24	-2.60	-1.60	4.76	28.09	2.22	21.26
0.325	2.34	-2.77	-1.42	4.44	27.33	2.32	21.73
0.345	2.44	-2.82	-1.63	4.53	27.53	2.18	21.05
0.365	2.54	-2.66	-1.43				
0.385	2.64	-2.63	-1.64	4.77	28.12	2.39	22.06
0.405	2.74	-2.63	-1.40	4.86	28.32	2.25	21.41
0.425	2.84	-2.78	-1.58	4.37	27.14	2.45	22.35
0.445	2.95	-2.70	-1.44	4.47	27.38	2.39	22.08
0.465	3.05	-2.94	-1.74				
0.485	3.15	-2.67	-1.56	4.76	28.10	2.32	21.75
0.505	3.25	-2.66	-1.68	4.77	28.12	2.12	20.73
0.525	3.35	-2.53	-1.52	4.40	27.20	2.41	22.14
0.545	3.45	-2.67	-1.55	4.49	27.45	2.62	23.07
0.565	3.55	-2.83	-1.53				
0.585	3.65	-2.72	-1.88	4.47	27.40	2.35	21.90
0.605	3.75	-2.91	-1.62	4.77	28.11	2.18	21.05
0.625	3.85	-2.62	-1.69	4.73	28.02	2.37	22.00
0.645	3.95	-2.60	-1.77	4.77	28.11	2.42	22.19
0.665	4.05	-3.15	-1.62				
0.685	4.15	-2.79	-1.58	4.71	27.96		
0.705	4.25	-2.66	-1.71	4.43	27.30	2.35	21.90
0.725	4.35	-2.76	-1.70	4.60	27.70	2.34	21.83
0.745	4.45	-2.61	-1.93	4.75	28.06	2.39	22.08
0.765	4.56	-2.73	-1.62				
0.785	4.66	-2.57	-1.57	4.61	27.74	2.60	23.00
0.805	4.76	-2.68	-1.53	4.78	28.13	2.41	22.17
0.825	4.86	-2.57	-1.58	4.61	27.73	2.40	22.11
0.845	4.96	-2.68	-1.81	4.57	27.63	2.43	22.27
0.865	5.06	-2.86	-1.76				
0.885	5.16		-1.87	4.76	28.08	2.46	22.39
0.905	5.26	-2.73	-1.81	4.45	27.33	2.59	22.94
