/* DATA DESCRIPTION:
Citation:	Rostek, F et al. (1997): Alkenones and reconstructed sea surface temperature from sediment core MD9-963. doi:10.1594/PANGAEA.375663, 
	In Supplement to: Rostek, Frauke; Bard, Edouard; Beaufort, Luc; Sonzogni, Corinne; Ganssen, Gerald M (1997): Sea surface temperature and productivity records for the past 240 kyr in the Arabian Sea. Deep Sea Research Part II: Topical Studies in Oceanography, 44(6-7), 1461-1480, doi:10.1016/S0967-0645(97)00008-8
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
Coverage:	LATITUDE: 5.040000 * LONGITUDE: 73.530000
	DATE/TIME START: 1990-09-12T00:00:00 * DATE/TIME END: 1990-09-12T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 17.2 m
Event(s):	MD90-963 (GS900963) * LATITUDE: 5.040000 * LONGITUDE: 73.530000 * DATE/TIME: 1990-09-12T00:00:00 * ELEVATION: -2446.0 m * RECOVERY: 53.60 m * CAMPAIGN: SEYMAMA/SHIVA/MD65 * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth)
	Alkenone, C37:3+C37:2 [ng/g] (K37) * PI: Rostek, Frauke (URL: http://www.cerege.fr/trac_org/ROSTEK/rostek.html, eMail: rostek@cerege.fr) * METHOD: Gas chromatography
	Accumulation rate, alkenone C37 [µg/cm**2/ka] (Acc rate K37) * PI: Rostek, Frauke (URL: http://www.cerege.fr/trac_org/ROSTEK/rostek.html, eMail: rostek@cerege.fr) * METHOD: Calculated from C37 alkenones (Brassell et al., 1986) (URI: doi:10.1038/320129a0)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Rostek, Frauke (URL: http://www.cerege.fr/trac_org/ROSTEK/rostek.html, eMail: rostek@cerege.fr) * METHOD: Calculated
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Rostek, Frauke (URL: http://www.cerege.fr/trac_org/ROSTEK/rostek.html, eMail: rostek@cerege.fr) * METHOD: Calculated from UK'37 (Prahl et al., 1988) (URI: doi:10.1016/0016-7037(88)90132-9) * COMMENT: see Rostek, F et al (1993)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	632 data points
*/
Depth [m]	K37 [ng/g]	Acc rate K37 [µg/cm**2/ka]	SST (1-12) [°C] (Calculated)	SST (1-12) [°C] (Calculated from UK'37 (Prahl ...)
0.01			28.0	28.7
0.41	811	2.635	27.6	28.2
0.51	1084	3.528	26.7	27.4
0.61	1063	3.518	27.0	27.6
0.71	712	2.416	26.9	27.6
0.81	717	2.394	25.5	26.2
0.91	853	2.823	26.2	26.8
1.01	583	1.972	26.8	27.5
1.11			26.5	27.2
1.21	708	2.308	26.2	26.8
1.31	605	2.027	26.3	26.9
1.41			25.8	26.4
1.50	473	1.495	26.4	27.0
1.61	972	2.955	26.0	26.7
1.71	965	3.194	26.7	27.3
1.81	836	2.684	26.2	26.8
1.91	826	2.684	25.8	26.5
2.01	863	2.748	25.1	25.7
2.11	1046	3.253	25.4	26.0
2.21	878	2.824	25.8	26.4
2.31	932	3.028	26.2	26.9
2.41	778	2.501	26.1	26.7
2.45	836	2.655	27.0	27.7
2.61	673	2.114	26.3	26.9
2.71	335	1.139	26.5	27.2
2.81	406	1.314	26.7	27.3
2.91	563	1.646	26.7	27.4
3.00	831	2.499	26.0	26.6
3.27	1836	6.080	26.9	27.6
3.37	1574	5.711	27.0	27.7
3.47			27.5	28.2
3.59	1463	7.648	27.2	27.9
3.67	1503	7.159	27.5	28.2
3.77	1324	6.385	27.1	27.8
3.87	1846	8.669	27.2	27.9
3.97	1492	7.270	27.6	28.3
4.07	1190	5.676	27.6	28.3
4.17	1009	5.026	27.4	28.1
4.27	576	2.983	27.3	28.0
4.47			27.1	27.8
4.57			27.2	27.9
4.65	1356	6.840	27.7	28.4
4.75	1834	9.361	27.7	28.3
4.85	2792	13.876	27.7	28.4
4.95	2076	10.319	27.5	28.2
5.05	3358	16.700	27.8	28.5
5.15	1624	8.178	27.9	28.6
5.25	1840	9.131	27.7	28.4
5.35	1743	8.412	27.9	28.6
5.45	1527	7.275	27.5	28.2
5.55			28.0	28.7
5.65	1127	4.991	27.5	28.2
5.75	1080	5.150	28.1	28.8
5.85	632	3.099	27.4	28.1
5.95	852	4.171	27.7	28.4
6.07	922			
6.09		4.454	27.0	27.6
6.25	2405	12.022	27.7	28.4
6.35	2235	11.134	27.4	28.0
6.45	1675	8.324	27.7	28.4
6.55	2992	15.224	27.4	28.1
6.65	2535	13.104	27.6	28.3
6.75	1754	9.192	27.6	28.3
6.95	1005	5.204	27.0	27.6
7.05	768	3.794	27.4	28.0
7.25	479	2.225	28.0	28.7
7.35	323	1.534	27.5	28.2
7.65	499	2.480	27.5	28.2
7.85	743	2.926	27.0	27.7
8.05	3118	12.766	27.4	28.0
8.15	3854	15.260	27.4	28.1
8.25	3462	13.754	27.4	28.1
8.35	3593	14.605	27.5	28.2
8.45	4241	17.749	27.3	28.0
8.55	2900	11.962	27.0	27.7
8.65	945	3.939	27.2	27.9
8.75	979	4.347	27.5	28.2
8.85	633	2.872	27.2	27.9
9.06	595	2.854	27.3	28.0
9.15	1036	4.969	27.0	27.7
9.25	1542	6.847	27.2	27.9
9.35	1835	7.816	26.9	27.6
9.45	2135	9.096	26.6	27.2
9.55	3077	13.110	27.6	28.2
9.65	2208	9.287	27.5	28.2
9.75	2169	8.979	27.5	28.2
9.85	1513	5.296	27.5	28.1
9.95	867	3.239	27.8	28.5
10.00	1216	4.499	27.8	28.5
10.05	658	2.501	27.8	28.5
10.10	464	1.750	27.7	28.4
10.15	939	3.520	27.6	28.3
10.24	2249	8.434	27.5	28.1
10.29	1758	6.467	27.3	28.0
10.37	3419	12.138	27.2	27.9
10.47	1981	7.274	27.6	28.3
10.58	3860	14.177	27.6	28.3
10.66	5140	18.531	27.5	28.2
10.76	6435	23.134	27.6	28.3
10.86	5077	18.430	27.8	28.4
10.96	6696	24.239	27.7	28.4
11.06	2046	7.466	27.8	28.5
11.16	2876	9.448	27.8	28.5
11.26	1872	5.351	27.9	28.6
11.36	465	1.380	27.6	28.3
11.47	808	2.457	27.8	28.5
11.58	1930	5.818	27.7	28.4
11.67	2398	7.289	27.5	28.2
11.67	2275	7.307		
11.88	1896	6.219	27.8	28.5
11.98	1459	4.683	27.9	28.6
12.08	1012	3.092	28.0	28.7
12.18	752	2.325	27.8	28.5
12.28	501	1.595	27.7	28.4
12.38	643	2.020	27.5	28.1
12.48	1477	4.582	27.3	28.0
12.58	2941	9.216	27.1	27.8
12.68	2538	8.167	27.5	28.2
12.78	3501	11.218	27.4	28.1
12.88	2121	6.551	27.7	28.4
12.98	1930	5.754	27.8	28.5
13.08	1692	4.856	27.9	28.6
13.18	244	0.629	27.6	28.3
13.29	683	1.453	27.5	28.2
13.38	2008	3.996	26.8	27.4
13.48	3686	7.408	26.6	27.2
13.58	2189	4.335	27.0	27.7
13.68	2435	4.953	27.2	27.9
13.79	1133	2.342	27.1	27.8
13.88	989	2.043	26.9	27.5
13.98	516	1.118	26.9	27.6
14.09	317	0.698	26.6	27.3
14.19	1276	2.660	26.5	27.2
14.28	1549	3.114	26.7	27.3
14.38	3449	7.072	26.4	27.1
14.48	457	0.966	27.6	28.3
14.58	790	2.278	27.2	27.9
14.67	1016	3.628	27.2	27.9
14.79	3762	14.153	27.2	27.8
14.90	3013	11.847	27.3	28.0
14.99	1363	5.391	27.7	28.4
15.10	1558	6.120	27.4	28.1
15.19	1804	7.078	27.5	28.2
15.28	1551	6.132	27.4	28.1
15.38	2122	8.431	27.5	28.2
15.49	1522	5.750	27.5	28.2
15.59	1889	7.528	27.6	28.3
15.69	1736	7.043	27.6	28.3
15.81	1736	6.277	27.8	28.5
15.91	1891	6.680	27.9	28.6
16.01	747	2.750	27.8	28.5
16.11	515	1.974	27.9	28.6
16.21	1082	4.280	27.6	28.3
16.31	2685	10.740	27.6	28.2
16.41	1830	7.473	27.7	28.4
16.51	2397	9.685	27.7	28.4
16.61	1724	6.904	27.9	28.5
16.71	1755	6.963	28.0	28.7
16.81	958	3.604	27.9	28.6
16.91	467	1.653	27.8	28.5
17.01	283	1.008	27.9	28.5
17.11	290	1.089	27.2	27.9
17.20	668	2.616	27.5	28.2
