/* DATA DESCRIPTION:
Citation:	Zhao, M et al. (2001): Alkenones, SST (annual mean) of sediment core MD97-2151. doi:10.1594/PANGAEA.65431, 
	In Supplement to: Zhao, Meixun; Huang, Chi-Yue; Wang, Chia-Chun; Wei, Ganjian (2006): A millennial-scale U37K' sea-surface temperature record from the South China Sea (8°N) over the last 150 kyr: Monsoon and sea-level influence. Palaeogeography, Palaeoclimatology, Palaeoecology, 236(1-2), 39-55, doi:10.1016/j.palaeo.2005.11.033
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 8.728000 * LONGITUDE: 109.869000
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 26.5 m
Event(s):	MD97-2151 (MD972151) * LATITUDE: 8.728000 * LONGITUDE: 109.869000 * ELEVATION: -1598.0 m * RECOVERY: 26.72 m * LOCATION: South China Sea (URI: http://en.wikipedia.org/wiki/South_China_Sea) * CAMPAIGN: MD106 (IMAGES III - IPHIS) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=97200010) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth)
	Alkenone, unsaturation index UK'37 (UK'37) * PI: Chen, Min-Te (eMail: mtchen@mail.ntou.edu.tw) * METHOD: Calculated from C37 alkenones (Zhao, M et al, 1995) (URI: doi:10.1029/94PA03354)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Chen, Min-Te (eMail: mtchen@mail.ntou.edu.tw) * METHOD: Calculated from UK37 (Pelejero & Grimalt, 1997) (URI: doi:10.1016/S0016-7037(97)00280-9)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	2214 data points
*/
Depth [m]	UK'37	SST (1-12) [°C]
0.005	0.958	27.921
0.025	0.961	28.043
0.045	0.944	27.472
0.055	0.931	27.054
0.065	0.950	27.691
0.085	0.960	28.014
0.095	0.942	27.432
0.105	0.935	27.188
0.125	0.944	27.483
0.135	0.936	27.227
0.145	0.963	28.100
0.165	0.939	27.326
0.175	0.941	27.373
0.185	0.946	27.555
0.205	0.929	26.987
0.215	0.931	27.066
0.225	0.944	27.468
0.245	0.949	27.650
0.255	0.932	27.089
0.265	0.952	27.725
0.285	0.938	27.292
0.295	0.929	26.989
0.305	0.933	27.140
0.325	0.941	27.374
0.345	0.961	28.027
0.365	0.941	27.393
0.375	0.929	26.988
0.385	0.954	27.820
0.405	0.936	27.226
0.425	0.937	27.259
0.445	0.935	27.200
0.465	0.920	26.695
0.485	0.938	27.276
0.495	0.937	27.249
0.505	0.935	27.203
0.525	0.942	27.420
0.545	0.944	27.489
0.565	0.937	27.271
0.585	0.955	27.834
0.605	0.939	27.337
0.625	0.954	27.790
0.645	0.930	27.019
0.665	0.952	27.729
0.685	0.955	27.832
0.705	0.960	28.003
0.725	0.943	27.465
0.745	0.936	27.219
0.765	0.953	27.757
0.785	0.952	27.743
0.805	0.949	27.629
0.815	0.932	27.101
0.825	0.962	28.060
0.845	0.940	27.357
0.865	0.955	27.827
0.885	0.930	27.038
0.905	0.944	27.481
0.925	0.940	27.352
0.935	0.935	27.184
0.945	0.947	27.590
0.965	0.938	27.276
0.985	0.940	27.362
1.005	0.935	27.178
1.015	0.941	27.397
1.025	0.933	27.136
1.045	0.943	27.455
1.055	0.940	27.343
1.065	0.956	27.861
1.085	0.942	27.415
1.095	0.950	27.681
1.125	0.951	27.707
1.135	0.962	28.069
1.165	0.930	27.024
1.185	0.956	27.865
1.205	0.939	27.313
1.225	0.962	28.051
1.285	0.937	27.251
1.305	0.941	27.397
1.345	0.956	27.878
1.385	0.973	28.417
1.405	0.944	27.470
1.425	0.951	27.696
1.445	0.950	27.684
1.465	0.944	27.488
1.485	0.950	27.670
1.505	0.947	27.578
1.525	0.940	27.353
1.545	0.965	28.155
1.565	0.943	27.466
1.585	0.954	27.805
1.605	0.951	27.713
1.625	0.960	27.998
1.645	0.944	27.467
1.665	0.951	27.693
1.685	0.945	27.507
1.725	0.938	27.290
1.745	0.947	27.579
1.765	0.946	27.561
1.785	0.950	27.666
1.805	0.946	27.546
1.825	0.950	27.666
1.845	0.936	27.213
1.865	0.936	27.234
1.885	0.941	27.381
1.905	0.959	27.959
1.925	0.943	27.458
1.945	0.932	27.091
1.965	0.937	27.242
1.985	0.941	27.383
2.025	0.946	27.543
2.045	0.943	27.459
2.065	0.939	27.322
2.085	0.935	27.188
2.145	0.944	27.484
2.185	0.915	26.546
2.205	0.949	27.649
2.225	0.947	27.586
2.245	0.939	27.323
2.265	0.964	28.120
2.285	0.942	27.416
2.305	0.946	27.533
2.325	0.947	27.582
2.345	0.953	27.784
2.365	0.945	27.526
2.405	0.942	27.431
2.425	0.937	27.244
2.445	0.938	27.288
2.485	0.928	26.967
2.505	0.917	26.596
2.525	0.931	27.055
2.565	0.922	26.757
2.585	0.927	26.944
2.605	0.919	26.683
2.625	0.923	26.820
2.645	0.932	27.084
2.665	0.927	26.947
2.685	0.921	26.730
2.705	0.935	27.188
2.725	0.932	27.089
2.745	0.934	27.146
2.765	0.923	26.789
2.785	0.938	27.285
2.805	0.925	26.857
2.825	0.930	27.043
2.845	0.921	26.749
2.865	0.942	27.418
2.885	0.920	26.693
2.905	0.918	26.644
2.925	0.918	26.657
2.945	0.936	27.220
2.965	0.924	26.847
2.985	0.927	26.946
3.045	0.922	26.788
3.065	0.937	27.246
3.085	0.900	26.062
3.105	0.928	26.971
3.125	0.914	26.526
3.145	0.922	26.775
3.165	0.916	26.594
3.175	0.918	26.630
3.185	0.931	27.058
3.205	0.935	27.178
3.225	0.917	26.617
3.265	0.907	26.276
3.285	0.915	26.531
3.305	0.910	26.376
3.325	0.897	25.952
3.345	0.917	26.596
3.365	0.890	25.751
3.385	0.900	26.069
3.405	0.888	25.679
3.425	0.903	26.176
3.445	0.900	26.062
3.465	0.894	25.868
3.505	0.904	26.178
3.525	0.894	25.866
3.545	0.888	25.678
3.565	0.895	25.898
3.585	0.913	26.479
3.625	0.893	25.842
3.645	0.897	25.973
3.665	0.918	26.656
3.685	0.878	25.366
3.705	0.880	25.428
3.725	0.879	25.383
3.745	0.903	26.148
3.785	0.901	26.080
3.805	0.886	25.617
3.825	0.898	26.002
3.865	0.897	25.975
3.885	0.877	25.329
3.945	0.902	26.141
3.985	0.920	26.710
4.025	0.897	25.959
4.045	0.913	26.490
4.065	0.933	27.125
4.125	0.890	25.753
4.145	0.914	26.506
4.165	0.866	24.956
4.185	0.871	25.118
4.205	0.907	26.298
4.225	0.903	26.166
4.245	0.885	25.577
4.265	0.885	25.577
4.285	0.884	25.535
4.305	0.887	25.652
4.325	0.866	24.958
4.345	0.873	25.179
4.365	0.887	25.641
4.385	0.857	24.671
4.405	0.839	24.091
4.425	0.862	24.827
4.445	0.857	24.688
4.465	0.856	24.656
4.485	0.843	24.233
4.505	0.853	24.552
4.525	0.850	24.439
4.565	0.850	24.449
4.585	0.862	24.821
4.605	0.843	24.218
4.625	0.846	24.322
4.645	0.847	24.368
4.665	0.872	25.176
4.685	0.835	23.963
4.705	0.833	23.899
4.725	0.856	24.647
4.745	0.877	25.328
4.765	0.870	25.091
4.785	0.848	24.398
4.805	0.867	24.994
4.825	0.894	25.869
4.845	0.880	25.433
4.865	0.881	25.465
4.885	0.867	25.007
4.905	0.888	25.673
4.925	0.878	25.346
4.945	0.878	25.364
4.965	0.858	24.698
4.985	0.888	25.667
5.005	0.878	25.352
5.025	0.870	25.111
5.045	0.882	25.490
5.065	0.906	26.257
5.085	0.873	25.194
5.105	0.886	25.607
5.125	0.867	25.001
5.145	0.872	25.167
5.165	0.887	25.646
5.185	0.886	25.617
5.205	0.883	25.521
5.225	0.880	25.424
5.245	0.892	25.821
5.265	0.881	25.444
5.285	0.888	25.671
5.305	0.886	25.615
5.325	0.888	25.664
5.345	0.876	25.293
5.365	0.890	25.750
5.385	0.885	25.585
5.405	0.885	25.593
5.425	0.874	25.237
5.445	0.882	25.466
5.465	0.876	25.288
5.485	0.879	25.396
5.525	0.874	25.229
5.545	0.885	25.576
5.565	0.895	25.893
5.585	0.858	24.712
5.605	0.876	25.295
5.625	0.877	25.314
5.645	0.895	25.890
5.665	0.880	25.431
5.685	0.895	25.892
5.705	0.878	25.347
5.725	0.896	25.925
5.745	0.872	25.157
5.765	0.889	25.701
5.785	0.895	25.914
5.805	0.894	25.854
5.825	0.875	25.261
5.845	0.899	26.044
5.925	0.896	25.941
5.945	0.909	26.359
5.965	0.900	26.073
5.985	0.875	25.258
6.005	0.884	25.542
6.045	0.878	25.365
6.065	0.862	24.839
6.085	0.881	25.457
6.105	0.866	24.979
6.125	0.877	25.307
6.145	0.872	25.158
6.165	0.865	24.923
6.185	0.849	24.424
6.205	0.868	25.046
6.225	0.870	25.099
6.265	0.880	25.405
6.285	0.882	25.469
6.305	0.863	24.857
6.325	0.884	25.561
6.345	0.855	24.615
6.365	0.859	24.733
6.385	0.854	24.563
6.405	0.876	25.274
6.425	0.865	24.945
6.445	0.873	25.196
6.465	0.867	24.986
6.485	0.864	24.892
6.505	0.871	25.135
6.525	0.878	25.342
6.545	0.854	24.564
6.565	0.864	24.888
6.585	0.874	25.209
6.625	0.853	24.562
6.645	0.881	25.446
6.685	0.859	24.738
6.705	0.855	24.612
6.725	0.876	25.275
6.745	0.854	24.583
6.765	0.874	25.231
6.785	0.855	24.597
6.805	0.854	24.577
6.825	0.869	25.047
6.845	0.869	25.056
6.865	0.861	24.820
6.885	0.877	25.325
6.905	0.843	24.210
6.925	0.851	24.490
6.965	0.858	24.701
6.985	0.867	25.011
7.005	0.873	25.202
7.025	0.876	25.276
7.045	0.883	25.524
7.065	0.869	25.060
7.085	0.885	25.594
7.105	0.863	24.863
7.125	0.875	25.266
7.145	0.867	24.984
7.165	0.875	25.270
7.185	0.882	25.490
7.205	0.882	25.469
7.225	0.864	24.897
7.245	0.876	25.281
7.265	0.864	24.904
7.285	0.884	25.547
7.305	0.869	25.053
7.345	0.872	25.155
7.365	0.871	25.143
7.385	0.862	24.826
7.405	0.862	24.831
7.425	0.869	25.054
7.445	0.874	25.239
7.465	0.858	24.697
7.485	0.864	24.890
7.505	0.883	25.503
7.525	0.865	24.942
7.545	0.864	24.895
