/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core SO90-39KG using alkenones. doi:10.1594/PANGAEA.737269, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 24.833000 * LONGITUDE: 65.933000
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 4.884 ka BP
Event(s):	SO90-39KG * LATITUDE: 24.833000 * LONGITUDE: 65.933000 * DATE/TIME: 1993-09-08T00:00:00 * ELEVATION: -695.0 m * RECOVERY: 0.45 m * LOCATION: Arabian Sea * CAMPAIGN: SO90 (PAKOMIN) * BASIS: Sonne (URI: http://www.bgr.de/fs_sonne/) * DEVICE: Box corer (Reineck) (BCR) (URI: http://en.wikipedia.org/wiki/Box_corer)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	247 data points
*/
Age [ka BP]	SST [¡C]
0.000	26.4
0.006	26.5
0.007	26.9
0.017	26.6
0.017	26.6
0.029	26.4
0.037	26.6
0.037	26.8
0.038	26.3
0.040	26.6
0.052	26.5
0.067	26.4
0.068	26.3
0.097	26.2
0.117	26.3
0.117	26.7
0.118	26.4
0.118	26.6
0.138	26.3
0.150	26.6
0.161	26.5
0.173	25.2
0.184	25.2
0.196	27.4
0.207	25.5
0.219	25.3
0.227	26.4
0.230	26.8
0.243	27.1
0.255	26.2
0.268	25.3
0.281	26.2
0.306	26.0
0.319	26.4
0.333	27.0
0.354	26.3
0.375	27.6
0.396	26.5
0.417	27.0
0.437	26.2
0.458	26.8
0.479	26.4
0.500	27.2
0.521	26.1
0.541	25.9
0.560	26.4
0.579	26.6
0.599	26.5
0.618	26.4
0.637	26.8
0.657	26.0
0.676	27.1
0.696	25.8
0.715	26.6
0.734	26.0
0.754	27.1
0.792	26.1
0.812	27.0
0.831	26.5
0.850	26.8
0.870	26.6
0.889	26.3
0.908	26.5
0.929	25.9
0.952	26.2
0.998	26.5
1.021	26.7
1.041	26.8
1.058	26.6
1.075	26.9
1.092	26.9
1.109	26.8
1.126	27.1
1.194	26.7
1.211	26.6
1.228	26.8
1.279	26.4
1.296	26.2
1.313	26.4
1.330	26.9
1.348	26.6
1.365	26.2
1.382	27.3
1.395	26.1
1.405	26.1
1.415	26.2
1.426	26.4
1.436	26.4
1.447	26.3
1.473	26.5
1.493	26.5
1.504	26.0
1.514	26.9
1.535	26.7
1.550	26.4
1.564	26.9
1.586	26.9
1.601	26.3
1.623	26.6
1.652	26.1
1.666	26.9
1.688	26.3
1.703	27.3
1.732	26.6
1.747	27.1
1.789	26.3
1.807	27.0
1.824	26.5
1.859	27.3
1.877	26.2
1.894	26.8
1.912	26.3
1.929	26.4
1.947	26.4
1.964	27.2
1.991	26.4
2.008	27.2
2.026	26.3
2.043	26.8
2.061	26.5
2.078	26.4
2.096	26.4
2.113	26.8
2.131	26.1
2.148	27.5
2.166	26.8
2.183	26.7
2.201	26.7
2.220	27.1
2.238	26.1
2.256	26.8
2.274	26.5
2.292	26.5
2.310	26.2
2.328	25.8
2.346	26.4
2.364	26.3
2.382	26.2
2.400	26.6
2.437	26.1
2.455	26.5
2.491	26.2
2.509	25.9
2.527	26.2
2.545	26.3
2.563	26.4
2.581	26.5
2.599	26.5
2.617	26.3
2.635	26.3
2.653	26.4
2.667	26.1
2.682	26.4
2.696	26.7
2.710	25.8
2.724	25.9
2.753	25.8
2.767	26.4
2.782	26.5
2.839	27.0
2.853	25.6
2.896	26.0
2.910	25.5
2.924	26.1
2.939	26.0
2.953	26.2
2.967	26.1
2.982	26.3
2.996	26.1
3.011	26.3
3.027	26.5
3.043	26.3
3.059	26.1
3.075	25.6
3.091	26.0
3.107	26.6
3.123	26.5
3.139	26.8
3.155	27.2
3.171	26.1
3.187	27.6
3.219	26.1
3.235	27.3
3.251	25.7
3.267	26.0
3.283	25.7
3.299	26.8
3.315	25.8
3.330	26.7
3.346	26.0
3.362	26.3
3.418	25.4
3.434	26.3
3.450	25.4
3.490	24.8
3.506	25.0
3.538	24.9
3.554	25.6
3.570	25.4
3.583	25.9
3.607	25.8
3.620	25.5
3.632	25.6
3.645	25.6
3.676	25.9
3.689	25.8
3.732	25.4
3.745	25.4
3.760	25.3
3.776	26.4
3.836	26.1
3.853	25.6
3.887	25.4
3.904	25.3
3.921	25.1
3.938	25.5
3.954	25.3
3.980	25.3
4.014	25.3
4.031	24.8
4.048	25.7
4.065	25.7
4.077	26.2
4.133	26.5
4.149	26.2
4.209	26.1
4.228	26.1
4.268	26.0
4.288	26.0
4.359	25.6
4.439	25.3
4.504	25.2
4.544	25.8
4.579	26.2
4.599	26.0
4.620	26.0
4.640	26.4
4.700	26.5
4.720	26.6
4.740	26.1
4.779	26.3
4.796	26.5
4.814	26.7
4.831	26.5
4.849	26.4
4.866	26.1
4.884	25.6
