# NOAA Paleoclimatology Program - Paleocean Site Data
# odp806b-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      ODP806B
# Latitude:       0.19.04N	( 0.31778)
# Longitude:      159.21.25E	( 159.357)
# Water Depth(m): 2520
#
# Publications:
#   Lea, D.W., D.K. Pak, and H.J. Spero. 2000. Climate impact of late Quaternary
#     equatorial Pacific sea surface temperature variations. Science
#     289(5485):1719-1724.
#------------------
#
# Description & Notes:
#   Equatorial Pacific sea surface temperatures during the late Quaternary.
#   Data precision: O18, ±0.06; Mg/Ca, ±2.1%; SST (est.), ±0.6°C; O18w (est.), ±0.18
#   Mg/Ca data on cleaned G. ruber shells by ICP-MS, SST estimates based on calibration
#   in Lea et al., 2000, O18w calculated from O18ruber measurements, Mg/Ca-temperature
#   estimates and Orbulina low light paleotemperature equations
#   (Bemis et al., 1998).
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.rub     delta O18 PDB (Globigerinoides ruber)
#             d18Osmow      delta O18 SMOW
#             Mg/Ca         Magnesium/Calcium ratio
#             sst           Sea Surface Temperature (C)
#
# CORE: ODP806B
depth	yrBP 	d18Og.rub	d18Osmow	Mg/Ca	sst	
3	4300	-2.3	0.49	3.86	28.6	
8	6000	-2.4	0.4	3.89	28.7	
10	6500	-2.27	0.65	4.08	29.2	
13	7300	-2.27	0.61	4.01	29	
18	8600	-2.03	0.72	3.8	28.4	
20	9100	-1.96	0.96	4.08	29.2	
23	9900	-2.14	0.75	4.04	29.1	
28	11200	-1.84	1.02	3.98	28.9	
30	11700	-1.72	1.08	3.88	28.6	
33	12500	-1.98	0.82	3.87	28.6	
38	13800	-1.57	1.12	3.71	28.1	
40	14300	-1.37	1.33	3.72	28.2	
43	15100	-1.51	1.13	3.62	27.9	
50	16900	-1.16	1.09	3.07	26	
58	19000	-1.33	0.97	3.14	26.3	
60	19700	-1.12	-999	-999	-999	
63	20700	-1.32	1.02	3.19	26.4	
68	22300	-1.35	0.92	3.11	26.1	
70	23000	-1.39	0.86	3.07	26	
73	24000	-1.38	0.86	3.05	25.9	
78	26900	-1.57	0.86	3.31	26.8	
80	28100	-1.38	0.95	3.17	26.4	
83	29800	-1.54	0.76	3.13	26.2	
88	32700	-1.63	0.69	3.16	26.3	
90	33900	-1.47	0.96	3.31	26.9	
93	35600	-1.44	0.87	3.14	26.3	
98	38500	-1.61	0.72	3.17	26.4	
100	39700	-1.35	-999	-999	-999	
103	41400	-1.54	0.72	3.08	26	
108	44300	-1.57	0.76	3.18	26.4	
110	45500	-1.36	0.98	3.19	26.4	
113	47200	-1.67	0.71	3.25	26.6	
118	50100	-1.54	0.74	3.11	26.1	
120	51300	-1.61	0.71	3.17	26.4	
123	53000	-1.95	0.4	3.21	26.5	
128	56000	-1.64	0.63	3.09	26.1	
130	57200	-1.47	0.9	3.24	26.6	
133	59000	-1.62	0.81	3.31	26.9	
138	62000	-1.5	0.85	3.2	26.5	
140	63200	-1.37	1.07	3.33	26.9	
143	65000	-1.36	1.08	3.32	26.9	
148	67100	-1.36	0.97	3.17	26.4	
150	68000	-1.44	-999	-999	-999	
153	69300	-1.74	0.52	3.08	26	
158	71400	-1.49	0.92	3.28	26.8	
160	72300	-1.43	-999	-999	-999	
163	73600	-1.85	0.57	3.3	26.8	
168	75700	-1.91	0.62	3.46	27.4	
170	76600	-1.73	0.79	3.44	27.3	
173	77900	-1.92	0.6	3.45	27.3	
178	80000	-1.98	0.6	3.54	27.6	
180	82800	-1.83	0.89	3.75	28.3	
183	87000	-1.81	0.73	3.47	27.4	
188	89100	-1.82	0.93	3.8	28.4	
190	89900	-1.83	-999	-999	-999	
194	91600	-1.91	0.69	3.57	27.7	
199	93600	-1.88	0.74	3.59	27.8	
200	94000	-1.92	0.68	3.57	27.7	
203	95300	-1.94	0.57	3.43	27.2	
209	97800	-1.84	0.73	3.52	27.5	
210	98200	-1.89	-999	-999	-999	
212	99000	-2.08	0.54	3.6	27.8	
218	101300	-1.94	0.57	3.43	27.3	
220	102000	-1.93	0.76	3.7	28.1	
223	103200	-1.73	0.83	3.5	27.5	
229	105500	-1.87	0.71	3.54	27.6	
230	105900	-1.97	-999	-999	-999	
233	107000	-1.75	0.82	3.52	27.6	
238	110400	-1.89	0.77	3.66	28	
240	111800	-2.06	-999	-999	-999	
243	113800	-1.58	1.03	3.59	27.8	
248	117200	-2.07	0.65	3.76	28.3	
250	118600	-2.3	-999	-999	-999	
255	122000	-2.47	0.36	3.94	28.8	
258	123400	-2.13	0.86	4.22	29.6	
260	124300	-2.22	-999	-999	-999	
263	125700	-2.24	0.66	4.05	29.1	
268	128000	-1.86	1.11	4.18	29.5	
270	128900	-1.85	1.01	3.99	29	
273	130200	-1.25	1.52	3.84	28.5	
278	132400	-1.16	1.43	3.55	27.7	
280	133300	-1.34	1.03	3.23	26.6	
284	135000	-1.1	1.34	3.33	26.9	
288	138400	-1.1	1.24	3.19	26.4	
290	140100	-1.24	1	3.06	26	
293	142600	-1.26	1.2	3.36	27	
297	146000	-1.39	1.18	3.52	27.5	
300	146600	-1.24	1.24	3.39	27.1	
303	147900	-1.3	1.28	3.53	27.6	
308	149400	-1.25	1.12	3.23	26.6	
313	151000	-1.17	1.36	3.47	27.4	
318	153900	-1.2	1.21	3.28	26.8	
323	156700	-1.5	0.85	3.21	26.5	
328	159600	-1.46	0.94	3.27	26.7	
333	162400	-1.56	0.83	3.25	26.7	
338	165300	-1.4	0.92	3.17	26.4	
343	168100	-1.65	0.76	3.29	26.8	
348	171000	-1.65	0.7	3.2	26.5	
353	172600	-1.54	0.92	3.36	27	
358	174100	-1.45	1.05	3.42	27.2	
363	175700	-1.49	0.9	3.26	26.7	
368	177300	-1.6	0.74	3.19	26.4	
373	178900	-1.42	0.96	3.25	26.6	
378	180400	-1.58	0.98	3.5	27.5	
383	182000	-1.13	1.28	3.28	26.7	
388	184000	-1.34	1.15	3.41	27.2	
393	186000	-1.57	0.91	3.39	27.1	
398	188300	-1.81	0.61	3.3	26.8	
403	190500	-1.84	0.87	3.74	28.2	
408	192800	-1.79	0.81	3.56	27.7	
413	195000	-1.88	0.77	3.65	27.9	
418	197300	-1.76	1	3.82	28.5	
453	213700	-1.76	1.07	3.93	28.8	
458	216000	-1.92	0.98	4.05	29.1	
463	219800	-1.33	1.46	3.87	28.6	
468	223500	-1.42	1.24	3.66	28	
474	228000	-1.39	0.89	3.11	26.2	
478	229400	-1.4	1	3.28	26.7	
484	231400	-1.61	0.99	3.56	27.7	
