# Western Pacific Warm Pool ODP871 500 KYr Foraminiferal d18O and Mg/Ca SST 
#----------------------------------------------------------------------- 
#               World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data, 
# plus the Online Resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:13479
#--------------------
# Archive/proxy:
# Paleoceanography
#--------------------
# Contribution Date
#	Date: 10-29-2012
#--------------------
# Title: Western Pacific Warm Pool ODP871 500 KYr Foraminiferal d18O and Mg/Ca
# SST	
#--------------------
#	Investigators: Dyez, K.A.; Ravelo, A.C.
#--------------------
# Description and Notes
# Mg/Ca paleothermometry from the planktonic foraminifera Globigerinoides ruber from the past 500 k.y. at Ocean Drilling Program (ODP) Site 871 in the western Pacific warm pool. 
# 
#--------------------
# Publication/Citation
#	Authors: Dyez, K.A. and A.C. Ravelo
#	Journal Name: Geology
#	Published Title: Late Pleistocene tropical Pacific temperature sensitivity to radiative greenhouse gas forcing 
#	Published Date: 10-19-2012 
#	DOI: 110.1130/G33425.1 
#	Volume:  
#	Issue: January 2013
#	Pages: 
#	Abstract: Understanding how global temperature changes with increasing atmospheric greenhouse gas concentrations, or climate sensitivity, is of central importance to climate change research. Climate models provide sensitivity estimates that may not fully incorporate slow, long-term feedbacks such as those involving ice sheets and vegetation. Geological studies, on the other hand, can provide estimates that integrate long- and short-term climate feedbacks to radiative forcing. Because high latitudes are thought to be most sensitive to greenhouse gas forcing owing to, for example, ice-albedo feedbacks, we focus on the tropical Pacific Ocean to derive a minimum value for long-term climate sensitivity. Using Mg/Ca paleothermometry from the planktonic foraminifera Globigerinoides ruber from the past 500 k.y. at Ocean Drilling Program (ODP) Site 871 in the western Pacific warm pool, we estimate the tropical Pacific climate sensitivity parameter (lambda) to be 0.94-1.06°C (W m-2)-1, higher than that predicted by model simulations of the Last Glacial Maximum or by models of doubled greenhouse gas concentration forcing. This result suggests that models may not yet adequately represent the long-term feedbacks related to ocean circulation, vegetation and associated dust, or the cryosphere, and/or may underestimate the effects of tropical clouds or other short-term feedback processes. 
#
#---------------------
# Funding Agency 
#	Funding Agency Name: Consortium for Ocean Leadership  
#	Grant: Schlanger Fellowship
#	Funding Agency Name: US National Science Foundation  
#	Grant: OCE-0902047
#-------------------- 
# Site Information 
#       Name: ODP871
#	Region: Western Tropical Pacific
#	Country: 
#	Northmost Latitude: 5.5572
# 	Southmost Latitude: 5.5572
# 	Eastmost Longitude: 172.3443
# 	Westmost Longitude: 172.3443
# 	Elevation: -1254 m 
#------------------   
# Data Collection  
#	Core Name: ODP871Dyez2012
#	First Year: 537150
#	Last Year: 0
#	Time Unit: Calendar Years before present 
#	Core Length: 5.59 m  
#	Notes: 
#------------------
# Chronology 
# 
# 
# 
# 
#------------------
# Variables
# 
# End Description/Documentation (lines begin with #)
# Data lines follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (8 components: material, error, units, anomaly, period, archive, detail, method) 
# Data line format: tab-delimited text, variable short name as header
# Missing values -999
## depth_m	depth, , , m, , , MBSF,,N 
## age_calkaBP	Age, , ,cal kyr BP, , , ,,N 
## d18Og.rub	delta 18O,Globigerinoides ruber,,per mil VPDB,,paleoceanography,,,N
## Mg/Ca-g.rub	Magnesium/Calcium ratio,Globigerinoides ruber,,paleoceanography,,,N
## sst-Mg/Ca-g.rub	Sea Surface Temperature,Mg/Ca Globigerinoides ruber,,deg C,,paleoceanography,,,N 
## notes	notes,,, ,,,Site Hole Core Type Section Interval-cm,,C
#---------------------------
# Data:
# Missing Value:
depth_m	age_calkaBP	d18Og.rub	Mg/Ca-g.rub	sst	notes
0.01	0	4.18	3.858	28	871B1H1 1 - 3
0.04	2.87	4.35	4.072	28.5	871B1H1 4 - 6
0.07	5.89	4	3.839	27.9	871B1H1 7 - 9
0.1	8.91	4.08	3.962	28.2	871B1H1 10 - 12
0.13	11.93	3.96	4.073	28.5	871B1H1 13 - 15
0.16	14.95	4.43	3.669	27.5	871B1H1 16 - 18
0.19	17.97	3.56	3.942	28.2	871B1H1 19 - 21
0.22	20.99	4.18	4.109	28.6	871B1H1 22 - 24
0.25	24.01	4.05	3.952	28.2	871B1H1 25 - 27
0.28	27.03	4.41	3.621	27.4	871B1H1 28 - 30
0.31	30.05	4.44	3.897	28.1	871B1H1 31 - 33
0.34	33.07	3.29	3.867	28	871B1H1 34 - 36
0.37	36.09	4.2	4.119	28.6	871B1H1 37 - 39
0.4	39.11	3.61	3.944	28.2	871B1H1 40 - 42
0.43	42.13	4.84	3.786	27.8	871B1H1 43 - 45
0.46	45.15	4.6	3.784	27.8	871B1H1 46 - 48
0.49	48.16	4.09	3.669	27.5	871B1H1 49 - 51
0.52	51.18	3.82	3.61	27.4	871B1H1 52 - 54
0.55	54.2	4.57	3.702	27.6	871B1H1 55 - 57
0.58	57.22	4.24	3.639	27.5	871B1H1 58 - 60
0.61	60.24	4.66	3.675	27.6	871B1H1 61 - 63
0.64	63.26	4.28	3.705	27.6	871B1H1 64 - 66
0.67	66.28	4.42	3.582	27.3	871B1H1 67 - 69
0.7	69.3	4.18	3.948	28.2	871B1H1 70 - 72
0.73	72.32	4	3.682	27.6	871B1H1 73 - 75
0.76	75.34	4.53	3.57	27.3	871B1H1 76 - 78
0.79	78.36	4.09	3.661	27.5	871B1H1 79 - 81
0.82	81.38	4.2	3.73	27.7	871B1H1 82 - 84
0.85	84.4	3.68	3.857	28	871B1H1 85 - 87
0.88	87.42	3.84	3.741	27.7	871B1H1 88 - 90
0.91	90.44	3.89	3.933	28.2	871B1H1 91 - 93
0.94	93.46	3.95	3.829	27.9	871B1H1 94 - 96
0.97	96.48	3.87	3.969	28.3	871B1H1 97 - 99
1	99.5	3.91	3.933	28.2	871B1H1 100 - 102
1.03	102.52	3.63	3.907	28.1	871B1H1 103 - 105
1.06	105.53	3.92	3.941	28.2	871B1H1 106 - 108
1.09	108.55	4.06	4.38	29.2	871B1H1 109 - 111
1.12	111.57	3.77	3.868	28	871B1H1 112 - 114
1.15	114.59	3.95	4.266	28.9	871B1H1 115 - 117
1.18	117.61	3.55	4.04	28.4	871B1H1 118 - 120
1.21	120.63	4.01	4.473	29.4	871B1H1 121 - 123
1.24	123.65	3.55	4.746	29.9	871B1H1 124 - 126
1.27	126.67	4.06	4.533	29.5	871B1H1 127 - 129
1.3	129.69	3.77	4.558	29.5	871B1H1 130 - 132
1.33	132.54	4.78	4.198	28.8	871B1H1 133 - 135
1.36	135.19	4.31	4.196	28.8	871B1H1 136 - 138
1.39	137.84	4.54	3.912	28.1	871B1H1 139 - 141
1.42	140.49	4.73	4.113	28.6	871B1H1 142 - 144
1.45	143.14	4.48	4.1	28.5	871B1H1 145 - 147
1.48	145.79	4.41	4.077	28.5	871B1H1 148 - 150
1.5	147.56	4.35	3.898	28.1	871B1H2 0 - 1
1.53	150.21	4.33	3.843	28	871B1H2 3 - 4
1.56	152.86	4.36	3.922	28.1	871B1H2 6 - 7
1.59	155.51	4.28	3.791	27.8	871B1H2 9 - 10
1.62	158.16	4.21	3.685	27.6	871B1H2 12 - 13
1.65	160.81	4.33	3.754	27.7	871B1H2 15 - 16
1.68	163.46	3.9	3.714	27.6	871B1H2 18 - 19
1.71	166.11	4.31	3.708	27.6	871B1H2 21 - 22
1.74	168.76	4.17	3.768	27.8	871B1H2 24 - 25
1.77	171.41	3.86	-999	-999	871B1H2 27 - 28
