# NOAA Paleoclimatology Program - Paleocean Site Data
# sk157_4-tab.txt
# Complete Data
# File Created: 08-Aug-2008
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             R. Saraswat
# Core/Site:      SK 157/4
# Latitude:       2.40.00N	( 2.66667)
# Longitude:      78.00.00E	( 78)
# Water Depth(m): 3500
#
# Publications:
#   Saraswat, R., R. Nigam, S. Weldeab, A. Mackensen, and P.D. Naidu. 2005.  A first
#     look at past sea surface temperatures in the equatorial Indian Ocean from Mg/Ca
#     in foraminifera. Geophys. Res. Lett., 32, L24605.
#   Dekens, P.S., D.W. Lea, D.K. Pak, and H.J. Spero. 2002. Core top calibration
#     of Mg/Ca in tropical foraminifera: Refining paleo-temperature estimation. Geochemistry,
#     Geophysics, Geosystems 3:1022.
#------------------
#
# Description & Notes:
#   Equatorial Indian Ocean 130kyr Mg/Ca Data and SST Reconstruction 
#   The Mg/Ca ratio was converted to SST using the depth corrected G. ruber Mg/Ca-SST
#   calibration of Dekens et al. [2002]: (Mg/Ca = 0.38 exp 0.09 [SST - 0.61 (core
#   depth km)]).
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca         Magnesium/Calcium ratio
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#
# CORE: SK 157/4
depth	yrBP 	Mg/Ca	sst-mg/ca	
5	5434.4	3.932	28.098	
6	5773.3	3.925	28.079	
7	6112.2	4.071	28.485	
9	6790	3.77	27.632	
10	7128.9	4.051	28.431	
12	7806.7	4.224	28.894	
14	8484.4	3.951	28.153	
16	9162.2	4.045	28.414	
18	9840	4.099	28.562	
20	10320	4.11	28.592	
22	10800	4.19	28.804	
24	11546	4.071	28.484	
26	12292	4.078	28.503	
28	13038	4.04	28.399	
30	13784	4.016	28.333	
32	14530	3.879	27.947	
34	16326.7	3.944	28.133	
36	18123.3	4.032	28.379	
37	19021.7	3.903	28.018	
38	19920	3.767	27.623	
40	20862.5	3.555	26.979	
42	21805	3.606	27.136	
43	22276.2	3.42	26.549	
44	22747.5	3.43	26.582	
46	23690	3.721	27.487	
48	24632.5	3.484	26.754	
50	25575	3.539	26.928	
52	26517.5	3.644	27.253	
54	27460	3.59	27.086	
56	27907.7	3.515	26.853	
58	28355.5	3.576	27.043	
60	28803.2	3.682	27.369	
62	29250.9	3.647	27.261	
64	29698.6	3.628	27.205	
66	30146.4	3.598	27.114	
68	30594.1	3.563	27.004	
70	31041.8	3.599	27.116	
72	31489.5	3.527	26.89	
74	31937.3	3.43	26.583	
76	32385	3.497	26.798	
78	32832.7	3.401	26.488	
80	33280.5	3.576	27.045	
82	33728.2	3.67	27.333	
84	34175.9	3.73	27.511	
86	34623.6	3.744	27.553	
88	35071.4	3.581	27.059	
92	35966.8	3.612	27.155	
94	36414.5	3.657	27.292	
96	36862.3	3.615	27.166	
98	37310	3.871	27.926	
100	38440	3.607	27.14	
102	39570	3.669	27.331	
104	40700	3.407	26.506	
106	41830	3.522	26.874	
108	42960	3.562	27	
110	44090	3.659	27.299	
112	45220	3.55	26.962	
114	46350	3.617	27.172	
116	47480	3.51	26.838	
118	48610	3.571	27.03	
120	49740	3.63	27.211	
122	50870	3.728	27.507	
124	52000	3.479	26.738	
126	53000	3.564	27.008	
128	54000	3.529	26.896	
130	55000	3.875	27.935	
132	56000	3.791	27.693	
134	57000	3.823	27.787	
136	59666.7	3.525	26.884	
138	62333.3	3.528	26.895	
140	65000	3.401	26.488	
142	66500	3.659	27.298	
144	68000	3.48	26.74	
146	69500	3.741	27.545	
148	71000	3.496	26.792	
156	75000	3.503	26.816	
158	76000	3.646	27.26	
160	77000	3.765	27.616	
162	77777.8	3.804	27.731	
164	78555.6	3.606	27.138	
166	79333.3	3.948	28.143	
168	80111.1	3.789	27.687	
170	80888.9	3.682	27.368	
172	81666.7	3.681	27.366	
174	82444.4	3.577	27.048	
176	83222.2	3.769	27.629	
178	84000	3.605	27.134	
180	85000	3.888	27.975	
182	86000	3.793	27.698	
184	87000	3.682	27.367	
186	88000	3.735	27.527	
188	89000	3.824	27.789	
190	90000	3.918	28.06	
192	91000	3.909	28.034	
194	92000	3.954	28.161	
196	93000	3.793	27.698	
198	94000	3.868	27.916	
200	95000	3.93	28.094	
202	96000	3.77	27.631	
204	97000	3.968	28.2	
206	98000	3.864	27.904	
208	99000	3.821	27.779	
210	100000	3.811	27.751	
212	101466.7	3.836	27.823	
214	102933.3	3.813	27.758	
216	104400	3.865	27.908	
218	105866.7	3.666	27.32	
220	107333.3	3.706	27.442	
222	108800	3.843	27.844	
224	110266.7	3.833	27.817	
226	111733.3	4.038	28.394	
228	113200	4.056	28.443	
230	114666.7	4.306	29.109	
232	116133.3	3.858	27.886	
234	117600	4.098	28.557	
236	119066.7	4.46	29.499	
238	120533.3	4.007	28.308	
240	122000	4.637	29.932	
244	124000	4.345	29.207	
246	125000	4.075	28.496	
248	126000	4.212	28.864	
250	127000	4.068	28.477	
252	128333.3	3.819	27.776	
254	129666.7	3.866	27.91	
256	131000	3.691	27.397	
258	131800	3.647	27.262	
260	132600	3.658	27.296	
262	133400	3.876	27.94	
264	134200	3.691	27.396	
266	135000	3.67	27.331	
268	136166.7	3.752	27.578	
270	137333.3	3.627	27.202	
