/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core CH07-98-GGC19 using alkenones. doi:10.1594/PANGAEA.737207, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 36.867000 * LONGITUDE: -74.567000
	MINIMUM AGE: 0.520 ka BP * MAXIMUM AGE: 10.500 ka BP
Event(s):	CH07-98-GGC19 * LATITUDE: 36.867000 * LONGITUDE: -74.567000 * ELEVATION: -1049.0 m * DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	158 data points
*/
Age [ka BP]	SST [¡C]
0.520	14.6
0.590	14.5
0.670	14.4
0.740	14.4
0.820	14.4
0.890	14.7
0.890	15.2
0.960	14.8
1.040	14.9
1.110	14.6
1.180	14.5
1.260	15.4
1.330	15.2
1.400	15.1
1.480	15.3
1.550	15.2
1.620	15.2
1.700	14.9
1.770	14.7
1.840	14.9
1.920	15.0
1.990	15.2
1.990	15.6
2.070	15.8
2.140	15.4
2.210	16.0
2.290	16.1
2.360	16.0
2.430	16.2
2.510	16.0
2.580	16.0
2.650	16.0
2.730	16.1
2.800	16.2
2.870	16.0
2.950	16.7
3.020	16.5
3.100	16.0
3.170	16.1
3.240	16.0
3.320	16.0
3.390	16.4
3.460	16.5
3.460	16.4
3.540	16.3
3.610	16.4
3.680	16.4
3.760	16.4
3.830	16.5
3.900	16.5
3.980	16.5
4.050	16.6
4.120	17.4
4.200	16.9
4.270	17.4
4.350	17.0
4.420	17.1
4.490	16.9
4.570	16.7
4.640	16.7
4.710	17.0
4.790	17.0
4.860	17.1
4.930	17.0
4.930	16.8
5.010	17.4
5.080	17.5
5.150	17.5
5.150	16.5
5.230	17.1
5.300	17.5
5.300	17.1
5.380	17.0
5.450	17.2
5.450	16.8
5.520	17.8
5.600	17.4
5.740	17.7
5.820	17.7
5.890	17.6
5.960	17.8
6.040	17.8
6.110	17.8
6.180	17.9
6.260	17.8
6.330	17.8
6.400	17.9
6.480	17.9
6.550	18.0
6.550	17.9
6.630	18.0
6.700	18.0
6.770	18.0
6.850	18.0
6.920	17.9
6.990	17.8
7.070	17.9
7.140	18.0
7.210	18.0
7.290	17.9
7.360	17.9
7.430	17.9
7.510	17.6
7.580	17.6
7.660	17.8
7.740	18.0
7.830	17.7
7.910	17.7
7.910	17.9
7.990	18.0
8.070	17.9
8.160	17.9
8.240	18.1
8.320	17.1
8.400	18.4
8.480	18.3
8.570	18.4
8.620	18.5
8.680	18.1
8.730	18.3
8.780	18.4
8.830	18.1
8.880	18.1
8.930	18.0
8.930	18.2
8.980	18.2
9.030	18.2
9.080	18.0
9.130	18.2
9.180	17.7
9.230	17.7
9.280	17.6
9.330	17.6
9.380	18.0
9.410	18.0
9.460	17.8
9.510	18.0
9.560	18.0
9.610	17.9
9.640	17.9
9.690	18.2
9.740	18.0
9.790	18.1
9.840	18.1
9.890	18.4
9.940	18.3
9.990	18.2
10.040	18.0
10.090	17.8
10.140	18.2
10.190	17.8
10.190	17.9
10.250	18.0
10.300	18.4
10.350	18.0
10.400	17.6
10.450	18.2
10.500	18.6
