/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core GeoB3313-1 using alkenones. doi:10.1594/PANGAEA.737211, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: -41.000000 * LONGITUDE: -74.450000
	MINIMUM AGE: 0.066 ka BP * MAXIMUM AGE: 7.671 ka BP
Event(s):	GeoB3313-1 * LATITUDE: -41.000000 * LONGITUDE: -74.450000 * DATE/TIME: 1995-05-12T00:00:00 * ELEVATION: -852.0 m * RECOVERY: 8.07 m * LOCATION: South-East Pacific * CAMPAIGN: SO102/1 (CHIPAL) (URI: urn:nbn:de:gbv:46-ep000102011) * BASIS: Sonne (URI: http://www.bgr.de/fs_sonne/) * DEVICE: Gravity corer (Kiel type) (SL)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	84 data points
*/
Age [ka BP]	SST [¡C]
0.066	14.6
0.144	14.7
0.222	14.5
0.300	14.7
0.378	14.9
0.456	14.6
0.534	14.8
0.612	14.9
0.690	15.0
0.768	15.0
0.846	15.3
0.924	15.3
1.002	15.2
1.080	15.0
1.158	15.2
1.233	15.2
1.271	15.1
1.308	15.1
1.383	15.4
1.459	15.3
1.534	15.6
1.571	15.6
1.609	15.4
1.684	15.3
1.759	15.2
1.796	15.1
1.871	15.0
1.946	15.0
2.048	15.4
2.177	15.0
2.306	15.0
2.435	15.1
2.564	14.9
2.693	15.3
2.822	15.1
2.951	15.1
3.080	15.3
3.209	15.3
3.273	15.3
3.338	15.2
3.466	15.2
3.595	15.4
3.724	15.5
3.851	15.7
3.969	15.8
4.087	15.4
4.206	15.3
4.324	15.6
4.443	15.5
4.561	15.4
4.680	15.3
4.798	15.5
4.917	15.4
5.035	15.5
5.078	15.4
5.121	15.5
5.165	15.6
5.208	15.6
5.251	15.7
5.294	15.8
5.338	15.9
5.381	15.9
5.424	16.2
5.467	16.1
5.510	16.0
5.554	16.2
5.617	15.8
5.743	16.0
5.868	15.8
5.993	15.5
6.118	15.6
6.244	15.6
6.369	15.3
6.494	15.6
6.619	15.5
6.745	15.4
6.870	15.5
6.995	15.2
7.120	15.3
7.246	15.5
7.371	15.3
7.496	15.4
7.621	15.5
7.671	15.2
