/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core MD01-2412 using alkenones. doi:10.1594/PANGAEA.737242, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 44.527500 * LONGITUDE: 145.004000
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 10.424 ka BP
Event(s):	MD01-2412 (MD012412) * LATITUDE: 44.527500 * LONGITUDE: 145.004000 * DATE/TIME: 2001-06-05T08:07:00 * ELEVATION: -1225.0 m * RECOVERY: 58.11 m * LOCATION: Kurilen Trench * CAMPAIGN: MD122 (IMAGES VII - WEPAMA) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Giant piston corer (GPC)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	134 data points
*/
Age [ka BP]	SST [¡C]
0.000	9.1
0.261	12.9
0.390	12.8
0.522	12.8
0.651	12.9
0.784	12.8
0.916	12.8
1.046	12.3
1.176	12.7
1.304	13.0
1.433	13.0
1.566	13.0
1.599	12.6
1.850	12.9
1.884	13.7
1.918	12.7
1.951	12.8
1.984	12.6
2.018	12.1
2.051	12.1
2.085	12.3
2.119	12.6
2.152	11.7
2.186	12.0
2.220	11.5
2.254	12.1
2.289	12.0
2.322	12.7
2.356	11.9
2.389	12.1
2.423	12.0
2.446	12.0
2.457	12.3
2.525	12.6
2.559	13.1
2.593	13.1
2.628	12.8
2.662	13.2
2.696	12.9
2.730	12.6
2.764	12.9
2.799	12.6
2.833	12.8
2.867	12.5
2.901	12.1
2.935	12.5
2.969	11.8
3.005	12.0
3.039	12.0
3.074	12.0
3.109	11.3
3.113	11.1
3.254	11.1
3.336	11.1
3.423	11.3
3.507	11.1
3.594	11.6
3.680	11.6
3.765	11.5
3.850	11.4
3.936	11.7
4.021	11.8
4.107	11.6
4.192	11.7
4.278	11.8
4.363	11.6
4.447	11.6
4.533	11.6
4.618	11.2
4.705	11.5
4.793	11.2
4.963	12.2
5.047	11.6
5.133	12.2
5.217	12.6
5.303	11.1
5.388	12.1
5.473	11.7
5.558	11.8
5.644	12.7
5.730	12.6
5.815	12.5
5.900	12.3
5.986	11.4
6.074	11.2
6.156	12.0
6.241	11.5
6.241	11.6
6.327	11.6
6.327	11.6
6.412	12.5
6.496	11.9
6.667	11.9
6.752	11.0
6.836	11.6
6.921	11.4
7.006	11.0
7.091	11.5
7.177	11.4
7.177	11.7
7.263	11.6
7.347	12.3
7.432	11.9
7.520	12.4
7.667	11.7
7.751	12.5
7.838	11.8
7.923	11.9
8.009	12.1
8.094	11.8
8.169	10.9
8.186	11.0
8.342	11.4
8.420	10.4
8.499	10.8
8.576	10.4
8.654	9.4
8.731	10.9
8.808	10.6
8.885	10.8
8.963	12.3
9.042	11.0
9.119	11.2
9.198	11.1
9.275	10.7
9.353	11.0
9.431	10.8
9.508	10.8
9.587	10.5
9.665	11.1
9.735	10.8
9.760	10.6
10.191	10.9
10.424	10.5
