/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core MD98-2176 using Mg/Ca-ratios. doi:10.1594/PANGAEA.737002, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: -5.000000 * LONGITUDE: 133.440000
	MINIMUM AGE: 0.139 ka BP * MAXIMUM AGE: 10.483 ka BP
Event(s):	MD98-2176 (MD982176) * LATITUDE: -5.000000 * LONGITUDE: 133.440000 * ELEVATION: -2382.0 m * RECOVERY: 26.68 m * CAMPAIGN: MD111 (IMAGES IV) (URI: http://www.ifremer.fr/sismer/program/csus/htql/campagne.htql?CRNO=98200030) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy Mg/Ca (URL: hdl:10013/epic.35231.d001) * METHOD: SST from Mg/Ca ratios
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	207 data points
*/
Age [ka BP]	SST [¡C]
0.139	28.40
0.161	28.60
0.183	29.20
0.205	28.70
0.226	28.70
0.248	28.50
0.270	27.90
0.291	28.10
0.313	28.30
0.335	28.00
0.357	28.50
0.378	29.10
0.400	28.80
0.422	28.40
0.444	31.10
0.465	28.20
0.487	28.50
0.509	28.70
0.520	29.60
0.530	28.30
0.561	28.70
0.584	29.00
0.610	28.10
0.638	28.50
0.669	28.90
0.703	28.80
0.721	28.60
0.740	28.40
0.780	28.40
0.823	29.90
0.868	29.10
0.916	28.90
0.971	28.10
1.037	29.40
1.060	28.70
1.156	28.70
1.257	29.20
1.362	28.60
1.471	28.90
1.583	29.50
1.697	28.30
1.813	28.60
1.912	28.90
1.957	28.50
2.002	28.10
2.047	28.00
2.093	28.70
2.104	28.90
2.138	29.20
2.183	28.90
2.228	29.10
2.272	28.50
2.317	28.70
2.361	28.50
2.383	29.00
2.405	29.20
2.448	29.00
2.492	29.00
2.535	29.60
2.578	29.00
2.620	29.70
2.652	28.80
2.662	29.30
2.700	29.70
2.726	28.90
2.752	29.50
2.778	31.10
2.804	29.60
2.830	28.40
2.855	28.60
2.881	28.60
2.906	29.20
2.931	29.20
2.956	28.00
2.980	29.60
3.005	29.30
3.029	29.00
3.054	29.40
3.078	28.50
3.102	29.60
3.172	29.10
3.242	28.50
3.310	28.50
3.377	30.00
3.443	29.30
3.509	29.00
3.573	28.50
3.621	28.70
3.637	28.70
3.701	28.40
3.765	28.70
3.828	28.90
3.891	28.60
3.955	28.30
4.020	28.80
4.085	27.80
4.107	28.40
4.129	29.10
4.152	28.80
4.175	27.90
4.197	28.70
4.203	29.80
4.220	28.90
4.243	28.50
4.267	28.70
4.290	28.60
4.314	28.70
4.374	28.70
4.436	29.30
4.499	28.30
4.564	29.30
4.630	29.00
4.698	29.20
4.767	28.70
4.821	29.60
4.839	29.10
4.875	28.70
4.912	29.80
4.988	30.20
5.066	29.00
5.145	29.30
5.228	29.30
5.312	29.30
5.450	29.00
5.501	28.90
5.607	29.20
5.661	29.60
5.675	29.60
5.716	29.50
5.772	29.00
5.829	29.60
5.886	29.40
5.944	30.20
6.003	29.60
6.033	29.60
6.063	29.50
6.124	30.10
6.177	29.00
6.207	29.40
6.237	29.40
6.268	28.40
6.298	28.80
6.329	29.10
6.359	29.30
6.390	28.60
6.422	29.60
6.453	29.20
6.485	29.20
6.516	30.20
6.548	29.30
6.580	29.60
6.613	29.40
6.645	29.00
6.678	29.10
6.686	30.10
6.710	29.90
6.743	28.70
6.777	29.20
6.819	29.00
6.888	28.50
6.957	29.10
7.028	29.50
7.099	29.50
7.171	28.90
7.243	29.00
7.316	28.20
7.390	29.00
7.446	30.00
7.464	28.70
7.539	28.90
7.615	30.10
7.691	29.10
7.768	29.20
7.845	29.80
7.923	29.50
8.001	29.00
8.080	29.70
8.159	29.80
8.238	29.80
8.318	29.50
8.399	29.30
8.480	29.30
8.561	28.70
8.642	29.70
8.724	29.30
8.807	29.20
8.889	29.10
8.930	29.60
8.972	29.10
9.055	29.90
9.138	28.90
9.221	30.00
9.305	29.20
9.389	28.80
9.472	29.10
9.556	28.60
9.641	29.60
9.725	29.30
9.809	28.90
9.893	28.70
9.978	28.55
10.062	29.40
10.146	28.70
10.231	29.20
10.315	29.20
10.399	28.90
10.483	28.40
