/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core OCE326-GGC30 using alkenones. doi:10.1594/PANGAEA.737259, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 43.882000 * LONGITUDE: -62.800000
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 10.440 ka BP
Event(s):	OCE326-GGC30 * LATITUDE: 43.882000 * LONGITUDE: -62.800000 * ELEVATION: -250.0 m * DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	147 data points
*/
Age [ka BP]	SST [¡C]
0.000	8.0
0.000	8.0
0.000	8.2
0.000	8.4
0.000	8.6
0.000	8.5
0.000	8.7
0.000	8.6
0.130	8.4
0.380	8.7
0.440	8.8
0.510	8.9
0.590	8.9
0.700	8.9
0.800	9.0
0.910	9.2
1.020	9.3
1.120	9.5
1.230	9.6
1.330	9.8
1.440	9.2
1.440	9.0
1.550	9.7
1.640	9.6
1.710	9.5
1.790	9.8
1.870	9.8
1.950	9.9
2.020	10.1
2.100	10.4
2.180	10.2
2.250	10.4
2.330	10.5
2.410	10.4
2.480	10.5
2.560	10.6
2.640	10.6
2.710	11.1
2.790	10.8
2.870	10.7
2.950	10.7
3.020	10.7
3.100	11.0
3.180	10.5
3.250	10.8
3.330	11.0
3.410	11.3
3.480	10.8
3.560	10.9
3.640	11.0
3.710	11.0
3.790	11.4
3.870	11.3
3.950	11.5
4.020	11.6
4.100	11.5
4.180	11.5
4.250	10.7
4.250	10.6
4.330	10.8
4.330	10.8
4.410	11.4
4.480	12.2
4.560	11.7
4.640	11.9
4.710	11.7
4.870	11.5
4.950	11.9
5.020	12.1
5.100	12.0
5.180	12.3
5.250	11.9
5.330	11.2
5.330	11.2
5.410	12.3
5.480	12.4
5.560	13.0
5.640	13.2
5.710	13.2
5.790	13.4
5.870	12.8
5.940	12.6
6.020	13.8
6.100	13.7
6.180	13.5
6.250	11.8
6.250	11.7
6.330	13.5
6.410	12.6
6.410	12.8
6.480	13.5
6.560	13.6
6.640	13.7
6.710	13.6
6.790	14.1
6.870	14.2
6.940	14.8
7.010	14.5
7.080	14.2
7.150	14.7
7.220	14.5
7.290	14.6
7.360	13.0
7.430	15.0
7.500	15.2
7.570	15.0
7.640	14.8
7.710	14.4
7.780	14.7
7.850	14.8
7.920	14.7
7.990	14.5
8.060	14.2
8.130	14.8
8.200	15.2
8.270	14.7
8.340	14.6
8.410	14.6
8.480	14.5
8.550	14.5
8.620	14.4
8.690	14.3
8.760	14.1
8.830	14.2
8.900	14.7
8.970	14.0
9.040	13.0
9.110	14.1
9.180	14.5
9.250	14.0
9.320	14.1
9.390	14.4
9.460	14.5
9.530	14.7
9.600	14.4
9.670	15.4
9.740	15.0
9.810	14.9
9.880	14.7
9.950	15.3
10.020	15.0
10.090	15.1
10.160	14.8
10.230	14.4
10.300	15.0
10.370	14.6
10.440	15.1
