/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core RAPID-12-1K using Mg/Ca-ratios. doi:10.1594/PANGAEA.737008, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 62.090000 * LONGITUDE: -17.820000
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 10.483 ka BP
Event(s):	RAPID-12-1K (CD159-12) * LATITUDE: 62.090000 * LONGITUDE: -17.820000 * ELEVATION: -1938.0 m * RECOVERY: 6.39 m * DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy Mg/Ca (URL: hdl:10013/epic.35231.d001) * METHOD: SST from Mg/Ca ratios
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	123 data points
*/
Age [ka BP]	SST [¡C]
0.000	11.00
0.063	11.08
0.125	10.30
0.188	10.68
0.250	9.98
0.313	11.41
0.375	10.54
0.438	10.17
0.500	11.09
0.563	11.58
0.698	10.94
0.771	10.73
0.845	11.24
0.918	10.81
0.991	10.47
1.064	10.95
1.138	10.92
1.211	10.93
1.284	10.71
1.357	10.83
1.430	9.46
1.504	10.93
1.577	10.39
1.650	10.78
1.723	10.12
1.797	10.87
1.857	10.44
1.917	10.49
2.037	9.72
2.158	11.34
2.218	10.13
2.278	9.01
2.339	10.59
2.399	10.61
2.459	8.94
2.519	11.40
2.579	10.93
2.640	9.82
2.700	10.46
2.760	10.54
2.820	9.31
2.881	10.74
2.997	10.42
3.114	9.66
3.231	10.63
3.347	10.55
3.464	8.67
3.581	10.33
3.698	9.56
3.814	11.71
3.931	9.98
4.048	10.85
4.164	9.99
4.281	10.23
4.398	9.44
4.515	11.38
4.802	10.67
5.090	9.47
5.234	9.82
5.378	11.36
5.522	9.44
5.665	9.03
5.809	9.71
5.953	11.08
6.241	10.25
6.529	8.70
6.624	9.62
6.719	10.62
6.814	10.14
6.909	10.23
7.004	9.33
7.099	11.50
7.195	10.10
7.290	9.98
7.480	10.36
7.670	10.98
7.861	9.76
8.051	9.65
8.092	10.26
8.133	10.79
8.174	11.00
8.216	9.71
8.257	9.19
8.298	11.31
8.339	9.18
8.380	9.23
8.421	11.14
8.463	10.11
8.527	9.22
8.592	10.34
8.657	9.89
8.722	10.64
8.787	9.14
8.852	10.03
8.917	9.89
8.982	8.63
9.047	10.12
9.112	10.61
9.176	10.35
9.241	9.61
9.371	10.22
9.436	9.66
9.501	11.65
9.566	10.10
9.631	9.86
9.696	10.83
9.761	12.24
9.826	10.45
9.861	10.29
9.896	9.59
9.931	10.40
9.966	9.70
10.001	10.02
10.031	10.60
10.066	9.54
10.101	10.60
10.176	9.86
10.234	10.73
10.280	9.97
10.327	10.97
10.373	9.86
10.418	11.81
10.483	11.13
