	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	
0	1	0	0	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	0
0.25	2	-0.034333024	-0.085368561	0.1160727	NA	-0.164452088	NA	NA	NA	NA	0.006905481	NA	NA	NA	NA	0.002471042	-0.017149114	NA	NA	-0.024954966	-0.027765254	-0.060712637	0.061125682	0.047507521	-0.122436399	0.052038224	-0.298125802	0.011549782
0.5	3	-0.070202713	-0.170016446	0.232239038	NA	-0.326270324	NA	NA	NA	NA	0.013407104	NA	NA	NA	NA	0.002700101	-0.035193686	NA	NA	-0.049358355	-0.053852592	-0.121156313	0.116147562	0.090857039	-0.239399385	0.102331256	-0.593602008	0.018448001
0.75	4	-0.107771015	-0.253320612	0.348499013	NA	-0.485454707	NA	NA	NA	NA	0.019504869	NA	NA	NA	NA	0.000687176	-0.053864638	NA	NA	-0.072405137	-0.078089537	-0.181331028	0.164855749	0.129891254	-0.350938302	0.15058667	-0.886428619	0.021146217
1	5	-0.146818621	-0.335053452	0.464830932	NA	-0.63931667	-0.47875448	0.093161749	-0.168867543	0.000724308	0.024064607	-0.271220567	0.22554551	0.057146357	NA	-0.003154555	-0.072085164	0.393355603	0.247493339	-0.093289805	-0.10030361	-0.239375318	0.207493063	0.164894551	-0.457102495	0.196699608	-1.160917327	0.020095989
1.25	6	-0.187126227	-0.414987362	0.566883109	NA	-0.78305619	-0.596883299	0.112439053	-0.211883352	-0.013365096	0.025675082	-0.333307546	0.268838355	0.077968697	NA	-0.00460665	-0.089678499	0.486438286	0.303808977	-0.111206851	-0.120322334	-0.293240555	0.244302323	0.196151313	-0.557941308	0.24056521	-1.398079051	0.015748877
1.5	7	-0.228474525	-0.492894736	0.643326165	NA	-0.916636652	-0.714388198	0.125231354	-0.254619009	-0.029000004	0.024392475	-0.39127814	0.306893787	0.101405338	NA	-0.002754866	-0.106570619	0.56533529	0.354943838	-0.125350768	-0.137973231	-0.342689927	0.275373567	0.223945921	-0.653504085	0.282078618	-1.600016819	0.00855644
1.75	8	-0.270644209	-0.568547968	0.695538175	NA	-1.040119245	-0.831269176	0.129940806	-0.296596825	-0.040334607	0.020278315	-0.444243467	0.339711807	0.126740633	NA	0.002161545	-0.122687501	0.630815683	0.401111343	-0.134916048	-0.153083823	-0.387486647	0.296920564	0.248562761	-0.743840172	0.321134975	-1.768918859	-0.001029763
2	9	-0.313415973	-0.641719454	0.724897216	-0.415722166	-1.153565156	-0.946603053	0.127994487	-0.337339113	-0.04742258	0.013394128	-0.492180587	0.367876808	0.146073842	-0.345006766	0.009903333	-0.137955124	0.683661092	0.442599922	-0.139097184	-0.165481633	-0.42739393	0.309551002	0.270286215	-0.828998911	0.35762942	-1.906973397	-0.012558171
2.25	10	-0.356570511	-0.712181587	0.732591218	-0.471210454	-1.258569232	-1.053234252	0.120819475	-0.376368185	-0.050361065	0.003801441	-0.535066561	0.397971517	0.157644091	-0.388967731	0.021939006	-0.152299465	0.724823019	0.479698004	-0.137088669	-0.174994182	-0.462174992	0.316420019	0.289400667	-0.909029649	0.391457096	-2.016368663	-0.025577226
